experiment,size,rate,scenario,fold,calib_mode,mcc,f1,auc,sens,spec,thr,n_tr,n_te,rate_te
v3_calibration,50,0.2,B,0,oracle_clean,0.579228718301566,0.6293706293706294,0.8711784903837884,0.6293706293706294,0.9498580889309366,0.2910499999999999,4800,1200,0.11916666666666667
v3_calibration,50,0.2,B,0,blind95,0.6001207454476777,0.5714285714285714,0.8711784903837884,0.40559440559440557,0.9981078524124882,0.7061023809523802,4800,1200,0.11916666666666667
v3_calibration,50,0.2,B,0,rate_aware,0.5765440116451339,0.627177700348432,0.8711784903837884,0.6293706293706294,0.9489120151371807,0.29043523809523814,4800,1200,0.11916666666666667
v3_calibration,50,0.2,B,0,fixed05,0.6203185987807955,0.6315789473684211,0.8711784903837884,0.5034965034965035,0.9877010406811731,0.5,4800,1200,0.11916666666666667
v3_calibration,50,0.2,B,1,oracle_clean,0.5394154282447673,0.5928571428571429,0.8462949810606062,0.5763888888888888,0.9498106060606061,0.26999553571428575,4800,1200,0.12
v3_calibration,50,0.2,B,1,blind95,0.562429234330218,0.5392156862745097,0.8462949810606062,0.3819444444444444,0.9952651515151515,0.616643452380952,4800,1200,0.12
v3_calibration,50,0.2,B,1,rate_aware,0.5265151515151515,0.5833333333333334,0.8462949810606062,0.5833333333333334,0.9431818181818182,0.2561869419642858,4800,1200,0.12
v3_calibration,50,0.2,B,1,fixed05,0.5901004264170429,0.5982142857142857,0.8462949810606062,0.4652777777777778,0.9876893939393939,0.5,4800,1200,0.12
v3_calibration,50,0.2,B,2,oracle_clean,0.560774429948441,0.6126760563380282,0.8750887784090909,0.6041666666666666,0.9498106060606061,0.26848511904761907,4800,1200,0.12
v3_calibration,50,0.2,B,2,blind95,0.5506629323567824,0.5294117647058825,0.8750887784090909,0.375,0.9943181818181818,0.6040559523809524,4800,1200,0.12
v3_calibration,50,0.2,B,2,rate_aware,0.5580808080808081,0.6111111111111112,0.8750887784090909,0.6111111111111112,0.946969696969697,0.2638298611111112,4800,1200,0.12
v3_calibration,50,0.2,B,2,fixed05,0.6003809216507892,0.6071428571428571,0.8750887784090909,0.4722222222222222,0.9886363636363636,0.5,4800,1200,0.12
v3_calibration,50,0.2,B,3,oracle_clean,0.5869439594685779,0.6366782006920416,0.8798762363215489,0.6388888888888888,0.9498106060606061,0.2738839285714285,4800,1200,0.12
