"size","rate","rep","scenario","tau","n_pos","n_neg","tau_op","sens","spec","ppv","npv","bal_acc","youden_j","g_mean","f1","f2","mcc","kappa","auc","auprc"
50,0.2,6,"A",0.6,41,400,0.23525,0.658536585365854,0.95,0.574468085106383,0.964467005076142,0.804268292682927,0.608536585365854,0.790954964645624,0.613636363636364,0.639810426540284,0.572679421241511,0.571036219030726,0.894451219512195,0.657287488441655
50,0.2,6,"B",0.4,61,439,0.31,0.557377049180328,0.952164009111617,0.618181818181818,0.939325842696629,0.754770529145973,0.509541058291945,0.728501452115467,0.586206896551724,0.568561872909699,0.532985031243722,0.532072528758043,0.860655737704918,0.63195390875485
50,0.2,7,"A",0.6,38,400,0.18025,0.684210526315789,0.95,0.565217391304348,0.969387755102041,0.817105263157895,0.63421052631579,0.806225774829855,0.619047619047619,0.656565656565657,0.582281900176818,0.579048534358481,0.849144736842105,0.703467880076994
50,0.2,7,"B",0.4,59,441,0.32,0.423728813559322,0.950113378684807,0.531914893617021,0.924944812362031,0.686921096122065,0.373842192244129,0.634500129784819,0.471698113207547,0.441696113074205,0.413271622581586,0.409954903696211,0.808101771782159,0.556930206464977
50,0.2,8,"A",0.6,40,400,0.225,0.65,0.9525,0.577777777777778,0.964556962025316,0.80125,0.6025,0.786844965669858,0.611764705882353,0.634146341463415,0.571626347128405,0.570414201183432,0.893625,0.71345728585926
50,0.2,8,"B",0.4,58,442,0.335,0.517241379310345,0.950226244343891,0.576923076923077,0.9375,0.733733811827118,0.467467623654236,0.701067994763221,0.545454545454545,0.528169014084507,0.490383659313941,0.48946250612645,0.881865345607739,0.625902518141001
50,0.2,9,"A",0.6,37,400,0.2205,0.567567567567568,0.95,0.51219512195122,0.95959595959596,0.758783783783784,0.517567567567567,0.73429502871066,0.538461538461538,0.555555555555555,0.494149534530232,0.493365966765426,0.805675675675676,0.572464967791869
50,0.2,9,"B",0.4,59,441,0.355,0.389830508474576,0.952380952380952,0.522727272727273,0.921052631578947,0.671105730427764,0.342211460855529,0.609316954407284,0.446601941747573,0.410714285714286,0.389700615025122,0.384555584348277,0.773434797647873,0.51054903897649
50,0.2,10,"A",0.6,39,400,0.220749999999999,0.666666666666667,0.95,0.565217391304348,0.966921119592875,0.808333333333333,0.616666666666667,0.795822425754221,0.611764705882353,0.643564356435644,0.572845600244913,0.570462833931272,0.888878205128205,0.714549388315971
50,0.2,10,"B",0.4,60,440,0.315,0.6,0.952272727272727,0.631578947368421,0.945823927765237,0.776136363636364,0.552272727272727,0.755885994289904,0.615384615384615,0.606060606060606,0.564698026014948,0.564459930313589,0.879507575757576,0.654256440903587
50,0.2,11,"A",0.6,39,400,0.215,0.769230769230769,0.9525,0.612244897959184,0.976923076923077,0.860865384615385,0.721730769230769,0.855974478411774,0.681818181818182,0.731707317073171,0.652089453769886,0.646883079574834,0.934294871794872,0.756256876168593
50,0.2,11,"B",0.4,60,440,0.350999999999999,0.616666666666667,0.95,0.627118644067797,0.947845804988662,0.783333333333333,0.566666666666667,0.765397500213669,0.621848739495798,0.618729096989967,0.570800479851463,0.570774513544449,0.877594696969697,0.627870504115887
50,0.2,12,"A",0.6,40,400,0.23,0.725,0.9525,0.604166666666667,0.971938775510204,0.83875,0.6775,0.831000902526586,0.659090909090909,0.697115384615385,0.624749099298935,0.621559633027523,0.9213125,0.755967392477238
50,0.2,12,"B",0.4,60,440,0.265749999999999,0.6,0.95,0.620689655172414,0.945701357466063,0.775,0.55,0.754983443527075,0.610169491525424,0.604026845637584,0.558135339278174,0.558032282859339,0.856458333333333,0.663583863051813
50,0.4,1,"A",0.6,81,300,0.4505,0.530864197530864,0.95,0.741379310344828,0.882352941176471,0.740432098765432,0.480864197530864,0.710155608056658,0.618705035971223,0.56282722513089,0.547659117154009,0.536464430824323,0.879567901234568,0.775317533879304
50,0.4,1,"B",0.4,120,380,0.54025,0.425,0.95,0.728571428571429,0.83953488372093,0.6875,0.375,0.635413251356942,0.536842105263158,0.463636363636364,0.461562419516185,0.437340153452685,0.82859649122807,0.68498280506561
50,0.4,2,"A",0.6,79,300,0.43525,0.645569620253165,0.95,0.772727272727273,0.910543130990415,0.797784810126582,0.595569620253165,0.783129069336917,0.703448275862069,0.667539267015707,0.637914645444334,0.633997349922519,0.905886075949367,0.815721237481242
50,0.4,2,"B",0.4,121,379,0.55,0.446280991735537,0.952506596306069,0.75,0.843457943925234,0.699393794020803,0.398787588041606,0.651985880548124,0.559585492227979,0.485611510791367,0.48648089588603,0.462542364307754,0.850967094790554,0.705746099404396
50,0.4,3,"A",0.6,81,300,0.49525,0.62962962962963,0.95,0.772727272727273,0.904761904761905,0.789814814814815,0.579629629629629,0.773400380235327,0.693877551020408,0.653846153846154,0.626652057386022,0.621648460774578,0.926399176954733,0.826846668268309
50,0.4,3,"B",0.4,120,380,0.585,0.383333333333333,0.955263157894737,0.73015873015873,0.830663615560641,0.669298245614035,0.33859649122807,0.605131564642199,0.502732240437158,0.423572744014733,0.435766541238396,0.404294317884263,0.863114035087719,0.706880536562487
50,0.4,4,"A",0.6,83,300,0.45575,0.63855421686747,0.95,0.779411764705882,0.904761904761905,0.794277108433735,0.58855421686747,0.778862315190622,0.701986754966887,0.6625,0.634565440466905,0.629713180792781,0.888393574297189,0.770544854011567
50,0.4,4,"B",0.4,124,376,0.57,0.459677419354839,0.949468085106383,0.75,0.841981132075472,0.704572752230611,0.409145504461222,0.660642898335767,0.57,0.498251748251748,0.492144713386768,0.470130126182965,0.85152496568291,0.697600103860181
50,0.4,5,"A",0.6,80,300,0.46025,0.5375,0.95,0.741379310344828,0.885093167701863,0.74375,0.4875,0.714580296397823,0.623188405797102,0.568783068783069,0.55263490031644,0.542168674698795,0.823479166666667,0.683389957834466
50,0.4,5,"B",0.4,121,379,0.4705,0.471074380165289,0.949868073878628,0.75,0.849056603773585,0.710471227021959,0.420942454043917,0.668923399307553,0.578680203045685,0.508928571428571,0.502163675412377,0.481949368352724,0.782180160928062,0.664707955477953
50,0.4,6,"A",0.6,79,300,0.41,0.670886075949367,0.953333333333333,0.791044776119403,0.916666666666667,0.81210970464135,0.6242194092827,0.79973624344013,0.726027397260274,0.691906005221932,0.664655714455633,0.661213909001519,0.90626582278481,0.790316605937908
50,0.4,6,"B",0.4,120,380,0.5705,0.425,0.95,0.728571428571429,0.83953488372093,0.6875,0.375,0.635413251356942,0.536842105263158,0.463636363636364,0.461562419516185,0.437340153452685,0.828739035087719,0.674002585982425
50,0.4,7,"A",0.6,80,300,0.4405,0.65,0.95,0.776119402985075,0.910543130990415,0.8,0.6,0.785811682275085,0.707482993197279,0.671834625322997,0.641870329883921,0.638015064244572,0.889125,0.792974286117687
50,0.4,7,"B",0.4,122,378,0.48225,0.5,0.94973544973545,0.7625,0.854761904761905,0.724867724867725,0.44973544973545,0.689106468455873,0.603960396039604,0.536971830985915,0.526881922581005,0.509081983308787,0.820366033480788,0.708142398407639
50,0.4,8,"A",0.6,82,300,0.37075,0.646341463414634,0.95,0.779411764705882,0.907643312101911,0.798170731707317,0.596341463414634,0.783597084121618,0.706666666666667,0.669191919191919,0.640093297848066,0.635780532200745,0.849491869918699,0.768301859652466
50,0.4,8,"B",0.4,120,380,0.5415,0.425,0.95,0.728571428571429,0.83953488372093,0.6875,0.375,0.635413251356942,0.536842105263158,0.463636363636364,0.461562419516185,0.437340153452685,0.803958333333333,0.657467785935543
50,0.4,9,"A",0.6,80,300,0.371,0.725,0.95,0.794520547945205,0.928338762214984,0.8375,0.675,0.829909633634892,0.758169934640523,0.737913486005089,0.698519888305356,0.697374085234611,0.931333333333333,0.842882358777476
50,0.4,9,"B",0.4,124,376,0.51,0.564516129032258,0.952127659574468,0.795454545454545,0.868932038834951,0.758321894303363,0.516643788606726,0.733138063892145,0.660377358490566,0.599315068493151,0.585876439197556,0.572324653107774,0.89824982841455,0.774085297196483
50,0.4,10,"A",0.6,77,300,0.425,0.636363636363636,0.953333333333333,0.777777777777778,0.910828025477707,0.794848484848485,0.58969696969697,0.778888096369862,0.7,0.660377358490566,0.63723524345057,0.632434189145271,0.898852813852814,0.774079486309521
50,0.4,10,"B",0.4,120,380,0.5605,0.45,0.95,0.73972602739726,0.845433255269321,0.7,0.4,0.653834841531101,0.559585492227979,0.488245931283906,0.483801315693366,0.461889085844517,0.849287280701754,0.701522817879273
50,0.4,11,"A",0.6,82,300,0.4555,0.597560975609756,0.95,0.765625,0.89622641509434,0.773780487804878,0.547560975609756,0.753447361684456,0.671232876712329,0.625,0.60200000544664,0.595017227670289,0.911768292682927,0.791479244886803
50,0.4,11,"B",0.4,121,379,0.481,0.545454545454545,0.949868073878628,0.776470588235294,0.867469879518072,0.747661309666587,0.495322619333173,0.719798484632506,0.640776699029126,0.579964850615114,0.564763914553884,0.551134295766105,0.892245796899191,0.767789243571995
50,0.4,12,"A",0.6,82,300,0.4505,0.670731707317073,0.95,0.785714285714286,0.913461538461538,0.810365853658537,0.620731707317073,0.798245026261498,0.723684210526316,0.690954773869347,0.658787221381442,0.655589902112313,0.899186991869919,0.794669865953868
50,0.4,12,"B",0.4,120,380,0.531,0.5,0.95,0.759493670886076,0.857482185273159,0.725,0.45,0.689202437604511,0.603015075376884,0.536672629695885,0.526914732448862,0.509560466848771,0.851052631578947,0.71248250029362
50,0.6,1,"A",0.6,120,200,0.585,0.625,0.955,0.892857142857143,0.809322033898305,0.79,0.58,0.772576857018122,0.735294117647059,0.664893617021277,0.638172329796709,0.617021276595745,0.889291666666667,0.853888893645581
50,0.6,1,"B",0.4,180,320,0.54025,0.477777777777778,0.95,0.843137254901961,0.763819095477387,0.713888888888889,0.427777777777778,0.673712764380258,0.609929078014184,0.523114355231144,0.509551213101674,0.472573839662447,0.796909722222222,0.759519316084969
50,0.6,2,"A",0.6,120,200,0.55525,0.641666666666667,0.95,0.885057471264368,0.815450643776824,0.795833333333333,0.591666666666667,0.780758178524781,0.743961352657005,0.679012345679012,0.643791349273483,0.626102292768959,0.879708333333333,0.858059692843818
50,0.6,2,"B",0.4,180,320,0.5705,0.511111111111111,0.95,0.851851851851852,0.775510204081633,0.730555555555556,0.461111111111111,0.696818165345562,0.638888888888889,0.555555555555555,0.537850922357153,0.505327245053273,0.841154513888889,0.796096695198697
50,0.6,3,"A",0.6,120,200,0.62025,0.616666666666667,0.95,0.880952380952381,0.805084745762712,0.783333333333333,0.566666666666667,0.765397500213669,0.725490196078431,0.656028368794326,0.62350170152552,0.602836879432624,0.9100625,0.876284502825057
50,0.6,3,"B",0.4,180,320,0.65525,0.427777777777778,0.95,0.827956989247312,0.746928746928747,0.688888888888889,0.377777777777778,0.637486383296843,0.564102564102564,0.473554735547355,0.466024737421452,0.422442244224422,0.843116319444444,0.783092006824703
50,0.6,4,"A",0.6,120,200,0.5005,0.741666666666667,0.95,0.898989898989899,0.85972850678733,0.845833333333333,0.691666666666667,0.839394623126294,0.812785388127854,0.768566493955095,0.724417166184363,0.716753022452504,0.901708333333333,0.891568550806183
50,0.6,4,"B",0.4,180,320,0.62525,0.483333333333333,0.95,0.844660194174757,0.765743073047859,0.716666666666667,0.433333333333333,0.677618378341871,0.614840989399293,0.528554070473876,0.514303492563616,0.478069335376365,0.805520833333333,0.755595018832881
50,0.6,5,"A",0.6,120,200,0.601999999999999,0.566666666666667,0.95,0.871794871794872,0.785123966942149,0.758333333333333,0.516666666666667,0.733712023435171,0.686868686868687,0.609318996415771,0.582587389737191,0.555555555555556,0.8604375,0.82919084458499
50,0.6,5,"B",0.4,180,320,0.68075,0.35,0.95,0.79746835443038,0.72209026128266,0.65,0.3,0.57662812973354,0.486486486486487,0.39424280350438,0.394800689859975,0.341975064318227,0.786805555555556,0.717378308651417
50,0.6,6,"A",0.6,120,200,0.656,0.583333333333333,0.95,0.875,0.791666666666667,0.766666666666667,0.533333333333333,0.74442371447091,0.7,0.625,0.596284793999944,0.571428571428571,0.886145833333333,0.85644747219518
50,0.6,6,"B",0.4,180,320,0.65525,0.427777777777778,0.95,0.827956989247312,0.746928746928747,0.688888888888889,0.377777777777778,0.637486383296843,0.564102564102564,0.473554735547355,0.466024737421452,0.422442244224422,0.797534722222222,0.741709247078
50,0.6,7,"A",0.6,120,200,0.62525,0.491666666666667,0.95,0.855072463768116,0.756972111553785,0.720833333333333,0.441666666666667,0.683434951793756,0.624338624338624,0.537340619307832,0.519922770643717,0.482695810564663,0.827395833333333,0.79461567707131
50,0.6,7,"B",0.4,180,320,0.6565,0.383333333333333,0.95,0.811764705882353,0.732530120481928,0.666666666666667,0.333333333333333,0.603462233007722,0.520754716981132,0.428571428571429,0.425947894452002,0.376840039254171,0.758211805555556,0.703228626903678
50,0.6,8,"A",0.6,120,200,0.61025,0.65,0.95,0.886363636363636,0.818965517241379,0.8,0.6,0.785811682275085,0.75,0.686619718309859,0.650536311179483,0.633802816901408,0.9069375,0.883199699807952
50,0.6,8,"B",0.4,180,320,0.601,0.488888888888889,0.95,0.846153846153846,0.767676767676768,0.719444444444444,0.438888888888889,0.681501610008696,0.619718309859155,0.533980582524272,0.51904088092375,0.483550114766641,0.825772569444444,0.773184963231731
50,0.6,9,"A",0.6,120,200,0.57525,0.591666666666667,0.95,0.876543209876543,0.794979079497908,0.770833333333333,0.541666666666667,0.749722170762832,0.706467661691542,0.632798573975045,0.60310964183789,0.579322638146168,0.879375,0.85429608153001
50,0.6,9,"B",0.4,180,320,0.59,0.466666666666667,0.953125,0.848484848484849,0.760598503740648,0.709895833333333,0.419791666666667,0.666927032490562,0.602150537634409,0.512820512820513,0.505656123832849,0.465626805314847,0.805060763888889,0.768024903045819
50,0.6,10,"A",0.6,120,200,0.656749999999999,0.558333333333333,0.95,0.87012987012987,0.781893004115226,0.754166666666667,0.508333333333333,0.72829710054803,0.680203045685279,0.601436265709156,0.575712568105466,0.547576301615799,0.891875,0.848123266077778
50,0.6,10,"B",0.4,180,320,0.645,0.477777777777778,0.953125,0.851485148514851,0.764411027568922,0.715451388888889,0.430902777777778,0.674819934830355,0.612099644128114,0.523751522533496,0.515161501955658,0.476666026502785,0.841831597222222,0.783250910218651
50,0.6,11,"A",0.6,120,200,0.61025,0.491666666666667,0.95,0.855072463768116,0.756972111553785,0.720833333333333,0.441666666666667,0.683434951793756,0.624338624338624,0.537340619307832,0.519922770643717,0.482695810564663,0.869708333333333,0.835006229512814
50,0.6,11,"B",0.4,180,320,0.615,0.394444444444444,0.95625,0.835294117647059,0.737349397590361,0.675347222222222,0.350694444444444,0.614155924826912,0.535849056603773,0.440993788819876,0.448132680621377,0.396467124631992,0.801137152777778,0.740236447352457
50,0.6,12,"A",0.6,120,200,0.55625,0.683333333333333,0.95,0.891304347826087,0.833333333333333,0.816666666666667,0.633333333333333,0.805708797684788,0.773584905660377,0.716783216783217,0.67744903724755,0.664335664335664,0.880416666666667,0.874586760636076
50,0.6,12,"B",0.4,180,320,0.63525,0.5,0.95,0.849056603773585,0.771573604060914,0.725,0.45,0.689202437604511,0.629370629370629,0.544794188861985,0.528472888165064,0.494467760396795,0.836467013888889,0.800582795099858
80,0.1,1,"B",0.4,31,469,0.155,0.645161290322581,0.950959488272921,0.465116279069767,0.975929978118162,0.798060389297751,0.596120778595502,0.783276611739849,0.540540540540541,0.598802395209581,0.512754169394555,0.504863983223627,0.813570396863608,0.58857262531878
80,0.1,2,"B",0.4,33,467,0.1535,0.666666666666667,0.948608137044968,0.478260869565217,0.975770925110132,0.807637401855817,0.615274803711634,0.795239224822723,0.556962025316456,0.617977528089888,0.528539802992846,0.520074594120228,0.848647070274479,0.600596855541526
80,0.1,4,"B",0.4,31,469,0.183,0.67741935483871,0.948827292110874,0.466666666666667,0.978021978021978,0.813123323474792,0.626246646949584,0.801719384869237,0.552631578947368,0.621301775147929,0.527716564713311,0.517182618574269,0.952438269482083,0.671700393772148
80,0.1,5,"B",0.4,30,470,0.14,0.733333333333333,0.951063829787234,0.488888888888889,0.982417582417582,0.842198581560284,0.684397163120567,0.835132808905648,0.586666666666667,0.666666666666667,0.567944373968537,0.554597701149425,0.889255319148936,0.640253910079253
