"nF","ipf","total_items","rep","alpha","beta","pattern","mcc_pattern_z15"
8,6,48,2,0.5,1.5,"clean",NA
8,6,48,2,0.5,1.5,"random",0.1342
8,6,48,2,0.5,1.5,"longstring",0.1353
8,6,48,2,0.5,1.5,"pure_straight",0.1921
8,6,48,2,0.5,1.5,"acquiescent",0.12
8,6,48,2,0.5,1.5,"mixed",0.0325
8,6,48,2,1,0.3,"clean",NA
8,6,48,2,1,0.3,"random",0.1525
8,6,48,2,1,0.3,"longstring",0.1537
8,6,48,2,1,0.3,"pure_straight",0.2183
8,6,48,2,1,0.3,"acquiescent",0.1118
8,6,48,2,1,0.3,"mixed",0.0521
8,6,48,2,1,0.5,"clean",NA
8,6,48,2,1,0.5,"random",0.1477
8,6,48,2,1,0.5,"longstring",0.1489
8,6,48,2,1,0.5,"pure_straight",0.2115
8,6,48,2,1,0.5,"acquiescent",0.1403
8,6,48,2,1,0.5,"mixed",0.0471
8,6,48,2,1,0.8,"clean",NA
8,6,48,2,1,0.8,"random",0.1363
8,6,48,2,1,0.8,"longstring",0.1375
8,6,48,2,1,0.8,"pure_straight",0.1952
8,6,48,2,1,0.8,"acquiescent",0.1233
8,6,48,2,1,0.8,"mixed",0.0349
8,6,48,2,1,1,"clean",NA
8,6,48,2,1,1,"random",0.1331
8,6,48,2,1,1,"longstring",0.1342
8,6,48,2,1,1,"pure_straight",0.1905
8,6,48,2,1,1,"acquiescent",0.1544
8,6,48,2,1,1,"mixed",0.0313
8,6,48,2,1,1.5,"clean",NA
8,6,48,2,1,1.5,"random",0.1184
8,6,48,2,1,1.5,"longstring",0.1194
8,6,48,2,1,1.5,"pure_straight",0.1696
8,6,48,2,1,1.5,"acquiescent",0.1324
8,6,48,2,1,1.5,"mixed",0.0141
8,6,48,2,1.5,0.3,"clean",NA
8,6,48,2,1.5,0.3,"random",0.1525
8,6,48,2,1.5,0.3,"longstring",0.1537
8,6,48,2,1.5,0.3,"pure_straight",0.2183
8,6,48,2,1.5,0.3,"acquiescent",0.1118
8,6,48,2,1.5,0.3,"mixed",0.0521
8,6,48,2,1.5,0.5,"clean",NA
8,6,48,2,1.5,0.5,"random",0.1454
8,6,48,2,1.5,0.5,"longstring",0.1466
8,6,48,2,1.5,0.5,"pure_straight",0.2082
8,6,48,2,1.5,0.5,"acquiescent",0.1369
8,6,48,2,1.5,0.5,"mixed",0.0447
8,6,48,2,1.5,0.8,"clean",NA
8,6,48,2,1.5,0.8,"random",0.1342
8,6,48,2,1.5,0.8,"longstring",0.1353
8,6,48,2,1.5,0.8,"pure_straight",0.1921
8,6,48,2,1.5,0.8,"acquiescent",0.156
8,6,48,2,1.5,0.8,"mixed",0.0325
8,6,48,2,1.5,1,"clean",NA
8,6,48,2,1.5,1,"random",0.1235
8,6,48,2,1.5,1,"longstring",0.1246
8,6,48,2,1.5,1,"pure_straight",0.1769
8,6,48,2,1.5,1,"acquiescent",0.1402
8,6,48,2,1.5,1,"mixed",0.0203
8,6,48,2,1.5,1.5,"clean",NA
8,6,48,2,1.5,1.5,"random",0.1017
8,6,48,2,1.5,1.5,"longstring",0.1026
8,6,48,2,1.5,1.5,"pure_straight",0.1456
