"nF","ipf","total_items","rep","alpha","beta","mcc_z15","mcc_oracle"
16,6,96,1,2,0.8,0.5179,0.6398
16,6,96,1,2,1,0.5017,0.6245
16,6,96,1,2,1.5,0.5139,0.6115
16,6,96,1,2.5,0.3,0.5236,0.6479
16,6,96,1,2.5,0.5,0.5306,0.6398
16,6,96,1,2.5,0.8,0.5097,0.6398
16,6,96,1,2.5,1,0.5253,0.6245
16,6,96,1,2.5,1.5,0.5064,0.6178
16,6,96,1,3,0.3,0.5236,0.6479
16,6,96,1,3,0.5,0.5306,0.6398
16,6,96,1,3,0.8,0.5214,0.6398
16,6,96,1,3,1,0.5176,0.6172
16,6,96,1,3,1.5,0.4885,0.6192
16,6,96,2,0,0.3,0.4482,0.5556
16,6,96,2,0,0.5,0.4482,0.5556
16,6,96,2,0,0.8,0.4482,0.5556
16,6,96,2,0,1,0.4482,0.5556
16,6,96,2,0,1.5,0.4482,0.5556
16,6,96,2,0.5,0.3,0.4482,0.5878
16,6,96,2,0.5,0.5,0.4448,0.5811
16,6,96,2,0.5,0.8,0.4379,0.5947
16,6,96,2,0.5,1,0.4345,0.5878
16,6,96,2,0.5,1.5,0.4378,0.5947
16,6,96,2,1,0.3,0.4482,0.5878
16,6,96,2,1,0.5,0.4413,0.5947
16,6,96,2,1,0.8,0.4444,0.5878
16,6,96,2,1,1,0.4378,0.5947
16,6,96,2,1,1.5,0.4282,0.5556
16,6,96,2,1.5,0.3,0.4482,0.5878
16,6,96,2,1.5,0.5,0.4578,0.5947
16,6,96,2,1.5,0.8,0.4411,0.5947
16,6,96,2,1.5,1,0.4314,0.5982
16,6,96,2,1.5,1.5,0.4009,0.5377
16,6,96,2,2,0.3,0.4482,0.5878
16,6,96,2,2,0.5,0.4544,0.5947
16,6,96,2,2,0.8,0.4346,0.6049
16,6,96,2,2,1,0.4282,0.5727
16,6,96,2,2,1.5,0.4059,0.5012
16,6,96,2,2.5,0.3,0.4482,0.5878
16,6,96,2,2.5,0.5,0.4544,0.5947
16,6,96,2,2.5,0.8,0.4314,0.5916
16,6,96,2,2.5,1,0.4158,0.5547
16,6,96,2,2.5,1.5,0.3865,0.4897
16,6,96,2,3,0.3,0.4482,0.5811
16,6,96,2,3,0.5,0.451,0.6049
16,6,96,2,3,0.8,0.4282,0.5789
16,6,96,2,3,1,0.4009,0.5323
16,6,96,2,3,1.5,0.3758,0.4763
16,6,96,3,0,0.3,0.4379,0.5361
16,6,96,3,0,0.5,0.4379,0.5361
16,6,96,3,0,0.8,0.4379,0.5361
16,6,96,3,0,1,0.4379,0.5361
16,6,96,3,0,1.5,0.4379,0.5361
16,6,96,3,0.5,0.3,0.4379,0.5436
16,6,96,3,0.5,0.5,0.4379,0.5436
16,6,96,3,0.5,0.8,0.4306,0.5436
16,6,96,3,0.5,1,0.427,0.5403
16,6,96,3,0.5,1.5,0.4199,0.5361
16,6,96,3,1,0.3,0.4379,0.5436
16,6,96,3,1,0.5,0.4306,0.5436
16,6,96,3,1,0.8,0.4397,0.5361
16,6,96,3,1,1,0.4362,0.54
16,6,96,3,1,1.5,0.4258,0.5403
16,6,96,3,1.5,0.3,0.4379,0.5436
16,6,96,3,1.5,0.5,0.4306,0.5436
16,6,96,3,1.5,0.8,0.4362,0.54
16,6,96,3,1.5,1,0.4292,0.5302
16,6,96,3,1.5,1.5,0.4516,0.5302
16,6,96,3,2,0.3,0.4379,0.5436
16,6,96,3,2,0.5,0.4469,0.5436
16,6,96,3,2,0.8,0.449,0.54
16,6,96,3,2,1,0.4583,0.5351
16,6,96,3,2,1.5,0.4552,0.54
16,6,96,3,2.5,0.3,0.4379,0.5436
16,6,96,3,2.5,0.5,0.4433,0.5533
16,6,96,3,2.5,0.8,0.4618,0.5361
16,6,96,3,2.5,1,0.4549,0.54
16,6,96,3,2.5,1.5,0.4461,0.5351
16,6,96,3,3,0.3,0.4379,0.5436
16,6,96,3,3,0.5,0.4433,0.5436
16,6,96,3,3,0.8,0.4583,0.5403
16,6,96,3,3,1,0.4678,0.5325
16,6,96,3,3,1.5,0.4256,0.5325
16,6,96,4,0,0.3,0.4675,0.5638
16,6,96,4,0,0.5,0.4675,0.5638
16,6,96,4,0,0.8,0.4675,0.5638
16,6,96,4,0,1,0.4675,0.5638
16,6,96,4,0,1.5,0.4675,0.5638
16,6,96,4,0.5,0.3,0.4675,0.5638
16,6,96,4,0.5,0.5,0.4675,0.5745
16,6,96,4,0.5,0.8,0.4641,0.5947
16,6,96,4,0.5,1,0.4543,0.5878
16,6,96,4,0.5,1.5,0.4479,0.5947
16,6,96,4,1,0.3,0.4675,0.5811
16,6,96,4,1,0.5,0.4641,0.5774
16,6,96,4,1,0.8,0.4511,0.5878
16,6,96,4,1,1,0.4479,0.5947
16,6,96,4,1,1.5,0.4354,0.5789
16,6,96,4,1.5,0.3,0.4675,0.5745
16,6,96,4,1.5,0.5,0.4641,0.5947
16,6,96,4,1.5,0.8,0.4479,0.6118
