"size","rate","rep","scenario","tau","mcc_full","f1_full","mcc_norr","f1_norr","mcc_triad","f1_triad","delta_mcc","delta_f1"
30,0.6,3,"A",0.6,0.554969294418183,0.65979381443299,0.596284793999944,0.7,0.505704582393133,0.609625668449198,-0.0413154995817613,-0.0402061855670103
30,0.6,3,"B",0.4,0.379705262404362,0.464566929133858,0.357842384324713,0.44,0.390413678633286,0.4765625,0.0218628780796492,0.0245669291338583
30,0.6,4,"A",0.6,0.541028711720196,0.645833333333333,0.548011060320803,0.652849740932642,0.439854483104268,0.539325842696629,-0.00698234860060643,-0.00701640759930899
30,0.6,4,"B",0.4,0.436109727677675,0.531835205992509,0.411431647215777,0.5,0.329563489370237,0.408163265306122,0.024678080461898,0.0318352059925093
30,0.6,5,"A",0.6,0.500260348885125,0.597826086956522,0.463994651062351,0.558659217877095,0.462191643434257,0.56353591160221,0.0362656978227738,0.0391668690794268
30,0.6,5,"B",0.4,0.421757950109656,0.511450381679389,0.334511353406691,0.419354838709677,0.373408022407469,0.462745098039216,0.0872465967029649,0.092095542969712
30,0.6,6,"A",0.6,0.609920043547016,0.712871287128713,0.484122918275927,0.58695652173913,0.583987266478205,0.683673469387755,0.125797125271089,0.125914765389582
30,0.6,6,"B",0.4,0.384172730156344,0.474708171206226,0.384172730156344,0.474708171206226,0.378808040148348,0.46875,0,0
30,0.6,7,"A",0.6,0.541028711720196,0.645833333333333,0.51282949069208,0.617021276595745,0.500260348885125,0.597826086956522,0.0281992210281161,0.0288120567375888
30,0.6,7,"B",0.4,0.405300596293004,0.49808429118774,0.389503244280705,0.48062015503876,0.36249715832237,0.450592885375494,0.0157973520122991,0.0174641361489798
30,0.6,8,"A",0.6,0.575712568105466,0.680203045685279,0.549556005408792,0.649214659685864,0.526986039392208,0.631578947368421,0.026156562696674,0.0309883859994153
30,0.6,8,"B",0.4,0.452094403985749,0.544776119402985,0.416609206680644,0.505747126436782,0.41568050451129,0.509505703422053,0.0354851973051059,0.0390289929662037
30,0.6,9,"A",0.6,0.541028711720196,0.645833333333333,0.53402085331243,0.638743455497382,0.541028711720196,0.645833333333333,0.00700785840776597,0.00708987783595139
30,0.6,9,"B",0.4,0.425947894452002,0.520754716981132,0.447100396217939,0.539325842696629,0.405300596293004,0.49808429118774,-0.0211525017659376,-0.018571125715497
30,0.6,10,"A",0.6,0.596284793999944,0.7,0.561904761904762,0.666666666666667,0.519922770643717,0.624338624338624,0.0343800320951819,0.0333333333333333
30,0.6,10,"B",0.4,0.400066132099319,0.492307692307692,0.394800689859975,0.486486486486487,0.394800689859975,0.486486486486487,0.0052654422393445,0.00582120582120577
30,0.6,11,"A",0.6,0.596284793999944,0.7,0.568818766050199,0.673469387755102,0.561904761904762,0.666666666666667,0.0274660279497444,0.0265306122448981
30,0.6,11,"B",0.4,0.461094077616895,0.558823529411765,0.420827817635731,0.515151515151515,0.451168645455973,0.548148148148148,0.0402662599811638,0.0436720142602496
30,0.6,12,"A",0.6,0.582587389737191,0.686868686868687,0.575712568105466,0.680203045685279,0.469544230731057,0.571428571428572,0.00687482163172526,0.00666564118340762
30,0.6,12,"B",0.4,0.293958295032098,0.368200836820084,0.293321609756365,0.37344398340249,0.311293542696874,0.39344262295082,0.00063668527573324,-0.00524314658240593
50,0.1,1,"B",0.4,0.428165708115029,0.465753424657534,0.404820452376368,0.444444444444444,0.363107420769151,0.405797101449275,0.0233452557386606,0.0213089802130898
50,0.1,2,"B",0.4,0.346806997256664,0.388059701492537,0.299734021631505,0.34375,0.293758171346396,0.338461538461538,0.0470729756251595,0.0443097014925374
50,0.1,3,"B",0.4,0.469974203103536,0.5,0.372456256223212,0.411764705882353,0.353166490384018,0.393939393939394,0.0975179468803243,0.0882352941176471
