experiment,size,rate,scenario,split,features,mcc,f1,auc,sens,spec,thr,n_tr,n_te,rate_te,direction,size_test,split_name,test_patterns
A1_cross_rep,30.0,0.6,A,0.0,norr,0.4299820678703806,0.6695059625212947,0.8352903645833333,0.81875,0.62375,0.245,2560,1280,0.375,,,,
A1_cross_rep,30.0,0.6,A,1.0,full,0.45404267765476475,0.6820512820512821,0.851328125,0.83125,0.63625,0.23,2560,1280,0.375,,,,
A1_cross_rep,30.0,0.6,A,1.0,triad,0.37261190391090965,0.6369203849518811,0.7896692708333333,0.7583333333333333,0.62625,0.23,2560,1280,0.375,,,,
A1_cross_rep,30.0,0.6,A,1.0,norr,0.42765026376951926,0.6654804270462633,0.8132109375000001,0.7791666666666667,0.6625,0.24,2560,1280,0.375,,,,
A1_cross_rep,30.0,0.6,A,2.0,full,0.47779473985443344,0.6947723440134908,0.8617812499999999,0.8583333333333333,0.6325,0.23,2560,1280,0.375,,,,
A1_cross_rep,30.0,0.6,A,2.0,triad,0.4069722249730514,0.6582914572864322,0.8171783854166665,0.81875,0.59875,0.235,2560,1280,0.375,,,,
A1_cross_rep,30.0,0.6,A,2.0,norr,0.44420141714568034,0.6764452113891285,0.8274427083333333,0.8166666666666667,0.64125,0.24,2560,1280,0.375,,,,
A1_cross_rep,30.0,0.6,B,0.0,full,0.3310922387994574,0.6129525752167262,0.7892095269097223,0.8347222222222223,0.5,0.23,4000,2000,0.36,,,,
A1_cross_rep,30.0,0.6,B,0.0,triad,0.27934396288567354,0.5876288659793815,0.7389279513888889,0.7916666666666666,0.4921875,0.24,4000,2000,0.36,,,,
A1_cross_rep,30.0,0.6,B,0.0,norr,0.32516772873999555,0.6080937167199149,0.75953125,0.7930555555555555,0.54140625,0.245,4000,2000,0.36,,,,
A1_cross_rep,30.0,0.6,B,1.0,full,0.3132983697805355,0.6045801526717557,0.7775065104166667,0.825,0.49140625,0.235,4000,2000,0.36,,,,
A1_cross_rep,30.0,0.6,B,1.0,triad,0.2630785328166035,0.5804803270311701,0.7374669053819446,0.7888888888888889,0.47734375,0.25,4000,2000,0.36,,,,
A1_cross_rep,30.0,0.6,B,1.0,norr,0.27858226801028857,0.5869565217391304,0.7435546875,0.7875,0.49609375,0.24524999999999864,4000,2000,0.36,,,,
A1_cross_rep,30.0,0.6,B,2.0,full,0.3329116838657181,0.6124604012671595,0.77869140625,0.8055555555555556,0.5359375,0.235,4000,2000,0.36,,,,
A1_cross_rep,30.0,0.6,B,2.0,triad,0.2889483718870235,0.5868131868131868,0.7337407769097222,0.7416666666666667,0.5578125,0.245,4000,2000,0.36,,,,
A1_cross_rep,30.0,0.6,B,2.0,norr,0.3247131100000962,0.6068144943212547,0.7596516927083333,0.7791666666666667,0.55625,0.25,4000,2000,0.36,,,,
A1_cross_rep,50.0,0.1,A,0.0,full,0.37722200276869033,0.3325183374083129,0.9308649789029535,0.8607594936708861,0.8544444444444445,0.04524999999999863,3766,1879,0.04204364023416711,,,,
A1_cross_rep,50.0,0.1,A,0.0,triad,0.3188112606167869,0.28314606741573034,0.8795921237693389,0.7974683544303798,0.8316666666666667,0.045,3766,1879,0.04204364023416711,,,,
A1_cross_rep,50.0,0.1,A,0.0,norr,0.358339136701721,0.328042328042328,0.9117580872011252,0.7848101265822784,0.8683333333333333,0.05,3766,1879,0.04204364023416711,,,,
A1_cross_rep,50.0,0.1,A,1.0,full,0.37778844143460194,0.331002331002331,0.9328017832647462,0.8765432098765432,0.8461111111111111,0.045,3764,1881,0.0430622009569378,,,,
A1_cross_rep,50.0,0.1,A,1.0,triad,0.34283190372977546,0.30385487528344673,0.8960733882030179,0.8271604938271605,0.8372222222222222,0.045,3764,1881,0.0430622009569378,,,,
A1_cross_rep,50.0,0.1,A,1.0,norr,0.3827339305837833,0.3471502590673575,0.9170301783264746,0.8271604938271605,0.8677777777777778,0.045,3764,1881,0.0430622009569378,,,,
A1_cross_rep,50.0,0.1,A,2.0,full,0.3138137701412696,0.2838709677419355,0.880462962962963,0.7857142857142857,0.825,0.04,3761,1884,0.044585987261146494,,,,
A1_cross_rep,50.0,0.1,A,2.0,triad,0.28094077508356874,0.26576576576576577,0.8458895502645503,0.7023809523809523,0.8327777777777777,0.04,3761,1884,0.044585987261146494,,,,
A1_cross_rep,50.0,0.1,A,2.0,norr,0.3399804680055517,0.3113207547169812,0.8809656084656085,0.7857142857142857,0.8477777777777777,0.04,3761,1884,0.044585987261146494,,,,
A1_cross_rep,50.0,0.1,B,0.0,full,0.37697442167927114,0.36991869918699183,0.893634453114007,0.7777777777777778,0.8491768454593733,0.07,4000,2000,0.0585,,,,
A1_cross_rep,50.0,0.1,B,0.0,triad,0.3230895463960535,0.3220973782771535,0.8477901693515077,0.7350427350427351,0.8242166755177908,0.07,4000,2000,0.0585,,,,
A1_cross_rep,50.0,0.1,B,0.0,norr,0.36873384775353313,0.3629032258064517,0.883087998329634,0.7692307692307693,0.8465215082315454,0.07,4000,2000,0.0585,,,,
A1_cross_rep,50.0,0.1,B,1.0,full,0.3922586080592796,0.3825363825363825,0.8833873270371184,0.7931034482758621,0.8550955414012739,0.07,4000,2000,0.058,,,,
A1_cross_rep,50.0,0.1,B,1.0,triad,0.34241634528173454,0.3451143451143452,0.8386732191229226,0.7155172413793104,0.8503184713375797,0.07,4000,2000,0.058,,,,
A1_cross_rep,50.0,0.1,B,1.0,norr,0.3703240232266638,0.36786469344608874,0.8834490994948385,0.75,0.856687898089172,0.07,4000,2000,0.058,,,,
A1_cross_rep,50.0,0.1,B,2.0,full,0.35756013453176316,0.35135135135135137,0.8851046488589491,0.7711864406779662,0.8358129649309245,0.07,4000,2000,0.059,,,,
