sens,spec,ppv,npv,bal_acc,youden_j,g_mean,f1,f2,mcc,kappa,auc,auprc,tau_op,size,rate,rep,scenario,tau,n_pos,n_neg
0.36666666666666664,0.95,0.8048780487804879,0.7272727272727273,0.6583333333333333,0.31666666666666665,0.5901977069875257,0.5038167938931297,0.4114713216957606,0.4105050699039556,0.3594797004335829,0.7580555555555555,0.697544166510777,0.6416151785714286,30,0.6,3,B,0.4,180,320
0.4444444444444444,0.95,0.8333333333333334,0.7524752475247525,0.6972222222222222,0.3944444444444444,0.6497862896539309,0.5797101449275363,0.49019607843137253,0.4806963076905793,0.4392884764114462,0.792421875,0.7428833376276718,0.5911660714285716,30,0.6,4,B,0.4,180,320
0.36666666666666664,0.95,0.8048780487804879,0.7272727272727273,0.6583333333333333,0.31666666666666665,0.5901977069875257,0.5038167938931297,0.4114713216957606,0.4105050699039556,0.3594797004335829,0.750173611111111,0.6982223760569408,0.6232410714285715,30,0.6,5,B,0.4,180,320
0.31666666666666665,0.95,0.7808219178082192,0.711943793911007,0.6333333333333333,0.2666666666666666,0.5484827557301444,0.450592885375494,0.3593947036569987,0.36249715832237034,0.30652564358411494,0.7897916666666668,0.7023419785324929,0.6996354166666668,30,0.6,6,B,0.4,180,320
0.4166666666666667,0.95,0.8241758241758241,0.7432762836185819,0.6833333333333333,0.3666666666666667,0.6291528696058958,0.5535055350553505,0.4623921085080148,0.45614227260576157,0.41113490364025707,0.775173611111111,0.726913547486467,0.5838916666666669,30,0.6,7,B,0.4,180,320
0.40555555555555556,0.95,0.8202247191011236,0.7396593673965937,0.6777777777777778,0.3555555555555556,0.6207074816512024,0.5427509293680298,0.4511742892459827,0.44617249738347897,0.39976576224868243,0.7923177083333333,0.7340932464933598,0.619292261904762,30,0.6,8,B,0.4,180,320
0.4166666666666667,0.95,0.8241758241758241,0.7432762836185819,0.6833333333333333,0.3666666666666667,0.6291528696058958,0.5535055350553505,0.4623921085080148,0.45614227260576157,0.41113490364025707,0.7871354166666666,0.738660273427068,0.6099244047619048,30,0.6,9,B,0.4,180,320
0.35,0.95,0.7974683544303798,0.7220902612826603,0.6499999999999999,0.2999999999999998,0.5766281297335397,0.4864864864864865,0.39424280350438046,0.39480068985997485,0.3419750643182268,0.7714062499999998,0.7048272478725875,0.6688127976190477,30,0.6,10,B,0.4,180,320
0.36666666666666664,0.95,0.8048780487804879,0.7272727272727273,0.6583333333333333,0.31666666666666665,0.5901977069875257,0.5038167938931297,0.4114713216957606,0.4105050699039556,0.3594797004335829,0.7883333333333333,0.7129283621722905,0.6993,30,0.6,11,B,0.4,180,320
0.28888888888888886,0.95,0.7647058823529411,0.7037037037037037,0.6194444444444445,0.23888888888888893,0.523874454850057,0.41935483870967744,0.3299492385786802,0.3345113534066912,0.27652733118971073,0.795703125,0.6937187693601244,0.7099982142857142,30,0.6,12,B,0.4,180,320
