size,rate,condition,rep,full_sens,full_spec,full_f1,full_mcc,full_auc,norr_sens,norr_spec,norr_f1,norr_mcc,norr_auc
60,0.2,realistic,4,0.37142857142857144,0.9169811320754717,0.37142857142857144,0.2884097035040431,0.7735849056603774,0.34285714285714286,0.9132075471698113,0.34285714285714286,0.2560646900269542,0.769433962264151
60,0.4,clean,1,0.6111111111111112,0.8771929824561403,0.6111111111111112,0.48830409356725146,0.8450292397660819,0.5555555555555556,0.8596491228070176,0.5555555555555556,0.4152046783625731,0.7983369883040935
60,0.4,clean,2,0.5277777777777778,0.8508771929824561,0.5277777777777778,0.3786549707602339,0.7869761208576997,0.5416666666666666,0.8552631578947368,0.5416666666666666,0.3969298245614035,0.7330653021442495
60,0.4,clean,3,0.5833333333333334,0.868421052631579,0.5833333333333334,0.4517543859649123,0.8284600389863548,0.625,0.881578947368421,0.625,0.506578947368421,0.7972100389863547
60,0.4,clean,4,0.6666666666666666,0.8947368421052632,0.6666666666666666,0.5614035087719298,0.8510599415204678,0.6527777777777778,0.8903508771929824,0.6527777777777778,0.5431286549707602,0.7825596978557505
60,0.4,realistic,1,0.5342465753424658,0.8502202643171806,0.5342465753424658,0.3844668396596464,0.7613602075915756,0.547945205479452,0.8546255506607929,0.547945205479452,0.402570756140245,0.7250618550479755
60,0.4,realistic,2,0.5555555555555556,0.8596491228070176,0.5555555555555556,0.4152046783625731,0.811860380116959,0.5694444444444444,0.8640350877192983,0.5694444444444444,0.4334795321637427,0.8011695906432749
60,0.4,realistic,3,0.5068493150684932,0.8414096916299559,0.5068493150684932,0.3482590066984491,0.7760847263291291,0.4931506849315068,0.8370044052863436,0.4931506849315068,0.33015509021785044,0.7644680465874117
60,0.4,realistic,4,0.5,0.8421052631578947,0.5,0.34210526315789475,0.7531067251461989,0.4861111111111111,0.8377192982456141,0.4861111111111111,0.32383040935672514,0.7339485867446394
120,0.2,clean,1,0.6666666666666666,0.9545454545454546,0.6666666666666666,0.6212121212121212,0.9233480639730639,0.5555555555555556,0.9393939393939394,0.5555555555555556,0.494949494949495,0.8282302188552189
120,0.2,clean,2,0.7222222222222222,0.9621212121212122,0.7222222222222222,0.6843434343434344,0.9433922558922558,0.6944444444444444,0.9583333333333334,0.6944444444444444,0.6527777777777778,0.9337647306397305
120,0.2,clean,3,0.6944444444444444,0.9583333333333334,0.6944444444444444,0.6527777777777778,0.9515993265993266,0.5555555555555556,0.9393939393939394,0.5555555555555556,0.494949494949495,0.9047243265993266
120,0.2,clean,4,0.5277777777777778,0.9356060606060606,0.5277777777777778,0.4633838383838384,0.9074074074074073,0.5277777777777778,0.9356060606060606,0.5277777777777778,0.4633838383838384,0.8903619528619529
120,0.2,realistic,1,0.5945945945945946,0.9429657794676806,0.5945945945945946,0.5375603740622752,0.8789435823656355,0.4594594594594595,0.9239543726235742,0.4594594594594595,0.3834138320830336,0.8027951906278903
120,0.2,realistic,2,0.5405405405405406,0.935361216730038,0.5405405405405406,0.47590175727057854,0.90242523892714,0.5675675675675675,0.9391634980988594,0.5675675675675675,0.5067310656664269,0.8104511355461926
120,0.2,realistic,3,0.5277777777777778,0.9356060606060606,0.5277777777777778,0.4633838383838384,0.8314920033670032,0.5277777777777778,0.9356060606060606,0.5277777777777778,0.4633838383838384,0.8043455387205386
120,0.2,realistic,4,0.6666666666666666,0.9588014981273408,0.6666666666666666,0.6254681647940075,0.8629553966632618,0.6363636363636364,0.9550561797752809,0.6363636363636364,0.5914198161389173,0.8268641470888664
120,0.4,clean,1,0.8194444444444444,0.9429824561403509,0.8194444444444444,0.7624269005847953,0.9469115497076023,0.6805555555555556,0.8991228070175439,0.6805555555555556,0.5796783625730995,0.8983004385964912
120,0.4,clean,2,0.7638888888888888,0.9254385964912281,0.763888888888889,0.689327485380117,0.9263827972709552,0.6805555555555556,0.8991228070175439,0.6805555555555556,0.5796783625730995,0.8945236354775828
120,0.4,clean,3,0.7222222222222222,0.9122807017543859,0.7222222222222222,0.6345029239766082,0.9253472222222222,0.6388888888888888,0.8859649122807017,0.6388888888888888,0.5248538011695907,0.8347344054580897
120,0.4,clean,4,0.6944444444444444,0.9035087719298246,0.6944444444444444,0.597953216374269,0.9124939083820663,0.5972222222222222,0.8728070175438597,0.5972222222222222,0.47002923976608185,0.8172210038986354
