"nF","ipf","total_items","rep","z_threshold","n_true_careless","n_noise","n_clean","mcc_std","mcc_f","sens_std","spec_std","sens_f","spec_f","noise_flagged_std","noise_flagged_f","mode_std","mode_f","n_pairs_std","n_pairs_f"
4,6,24,1,1.9,23,22,255,0.125760536602764,0.117101254780787,1,0.173285198555957,0.91304347826087,0.28158844765343,0.954545454545455,0.818181818181818,"weighted","efa_d",276,96
4,6,24,1,2.1,23,22,255,0.111387404242177,0.0907253439463592,1,0.140794223826715,0.91304347826087,0.227436823104693,0.954545454545455,0.818181818181818,"weighted","efa_d",276,96
4,6,24,1,2.3,23,22,255,0.101303715157648,0.0756876870108946,1,0.11913357400722,0.91304347826087,0.1985559566787,0.954545454545455,0.863636363636364,"weighted","efa_d",276,96
4,6,24,1,2.5,23,22,255,0.0942623769759861,0.0878556363890107,1,0.104693140794224,0.956521739130435,0.162454873646209,0.954545454545455,1,"weighted","efa_d",276,96
4,6,24,1,2.7,23,22,255,0.0830324909747292,0.0781745446019076,1,0.0830324909747292,0.956521739130435,0.144404332129964,1,1,"weighted","efa_d",276,96
4,6,24,1,2.9,23,22,255,0.0683950788834818,0.0612627210241901,1,0.0577617328519856,0.956521739130435,0.115523465703971,1,1,"weighted","efa_d",276,96
8,6,48,1,0.1,20,25,255,0.142857142857143,0.321599864372564,0.2,0.942857142857143,0.55,0.892857142857143,0.16,0.36,"weighted","efa_d",1128,181
8,6,48,1,0.3,20,25,255,0.238772569236185,0.35184706869676,0.45,0.882142857142857,0.65,0.871428571428571,0.28,0.36,"weighted","efa_d",1128,181
8,6,48,1,0.5,20,25,255,0.245255735793986,0.338437440805911,0.55,0.835714285714286,0.7,0.839285714285714,0.48,0.48,"weighted","efa_d",1128,181
8,6,48,1,0.7,20,25,255,0.191007073598627,0.322782356200176,0.55,0.778571428571429,0.75,0.8,0.56,0.52,"weighted","efa_d",1128,181
8,6,48,1,0.9,20,25,255,0.288754267480239,0.30952380952381,0.8,0.732142857142857,0.8,0.757142857142857,0.6,0.56,"weighted","efa_d",1128,181
8,6,48,1,1.1,20,25,255,0.263380782526799,0.338026783572676,0.85,0.660714285714286,0.9,0.728571428571429,0.64,0.6,"weighted","efa_d",1128,181
8,6,48,1,1.3,20,25,255,0.257838109124156,0.318635492147806,0.9,0.610714285714286,0.95,0.667857142857143,0.72,0.6,"weighted","efa_d",1128,181
8,6,48,1,1.5,20,25,255,0.221014556909778,0.286994259354871,0.9,0.542857142857143,0.95,0.617857142857143,0.76,0.68,"weighted","efa_d",1128,181
8,6,48,1,1.7,20,25,255,0.188025358272589,0.257033870348626,0.9,0.475,0.95,0.564285714285714,0.76,0.68,"weighted","efa_d",1128,181
8,6,48,1,1.9,20,25,255,0.168453384784431,0.233491185122426,0.9,0.432142857142857,0.95,0.517857142857143,0.84,0.72,"weighted","efa_d",1128,181
8,6,48,1,2.1,20,25,255,0.196116135138184,0.206746271272778,1,0.375,0.95,0.460714285714286,0.84,0.72,"weighted","efa_d",1128,181
8,6,48,1,2.3,20,25,255,0.173576032715863,0.187843646008504,1,0.317857142857143,0.95,0.417857142857143,0.88,0.76,"weighted","efa_d",1128,181
8,6,48,1,2.5,20,25,255,0.1570467354963,0.165107548419542,1,0.275,0.95,0.364285714285714,0.96,0.84,"weighted","efa_d",1128,181
8,6,48,1,2.7,20,25,255,0.147441956154897,0.142839912585024,1,0.25,0.95,0.310714285714286,1,0.84,"weighted","efa_d",1128,181
8,6,48,1,2.9,20,25,255,0.132237145745356,0.11737540225461,1,0.210714285714286,0.95,0.25,1,0.88,"weighted","efa_d",1128,181
12,6,72,1,0.1,21,24,255,0.342862151836783,0.256189293555084,0.761904761904762,0.806451612903226,0.333333333333333,0.939068100358423,0.291666666666667,0.125,"coupled","efa_d",77,321
12,6,72,1,0.3,21,24,255,0.300761120054001,0.2316143933158,0.761904761904762,0.763440860215054,0.380952380952381,0.906810035842294,0.291666666666667,0.125,"coupled","efa_d",77,321
12,6,72,1,0.5,21,24,255,0.299190529772311,0.223324072334668,0.80952380952381,0.731182795698925,0.428571428571429,0.878136200716846,0.291666666666667,0.166666666666667,"coupled","efa_d",77,321
12,6,72,1,0.7,21,24,255,0.286643223019695,0.300050069750567,0.857142857142857,0.681003584229391,0.619047619047619,0.842293906810036,0.291666666666667,0.25,"coupled","efa_d",77,321
12,6,72,1,0.9,21,24,255,0.247262491815526,0.292040998629188,0.857142857142857,0.620071684587814,0.666666666666667,0.810035842293907,0.416666666666667,0.291666666666667,"coupled","efa_d",77,321
12,6,72,1,1.1,21,24,255,0.242867220034085,0.291371369113118,0.904761904761905,0.56989247311828,0.761904761904762,0.752688172043011,0.5,0.458333333333333,"coupled","efa_d",77,321
12,6,72,1,1.3,21,24,255,0.240992561862543,0.262592539621165,0.952380952380952,0.519713261648746,0.761904761904762,0.716845878136201,0.541666666666667,0.5,"coupled","efa_d",77,321
12,6,72,1,1.5,21,24,255,0.254918883595647,0.227355272980245,1,0.498207885304659,0.761904761904762,0.666666666666667,0.541666666666667,0.583333333333333,"coupled","efa_d",77,321
12,6,72,1,1.7,21,24,255,0.24318672855696,0.235975512723128,1,0.473118279569892,0.80952380952381,0.6415770609319,0.541666666666667,0.583333333333333,"coupled","efa_d",77,321
12,6,72,1,1.9,21,24,255,0.220908718035046,0.248786302068036,1,0.422939068100358,0.904761904761905,0.580645161290323,0.583333333333333,0.625,"coupled","efa_d",77,321
12,6,72,1,2.1,21,24,255,0.201319057990068,0.220270061213801,1,0.376344086021505,0.904761904761905,0.526881720430108,0.625,0.625,"coupled","efa_d",77,321
12,6,72,1,2.3,21,24,255,0.192542725157492,0.206004221231783,1,0.354838709677419,0.904761904761905,0.498207885304659,0.708333333333333,0.625,"coupled","efa_d",77,321
12,6,72,1,2.5,21,24,255,0.178180971042434,0.187185290423811,1,0.318996415770609,0.904761904761905,0.458781362007168,0.75,0.708333333333333,"coupled","efa_d",77,321
12,6,72,1,2.7,21,24,255,0.171088300858246,0.200535347581589,1,0.301075268817204,0.952380952380952,0.433691756272401,0.833333333333333,0.75,"coupled","efa_d",77,321
12,6,72,1,2.9,21,24,255,0.161213154788378,0.181639862872144,1,0.275985663082437,0.952380952380952,0.390681003584229,0.833333333333333,0.791666666666667,"coupled","efa_d",77,321
20,6,120,1,0.1,24,21,255,0.4372098277869,0.515372789290097,0.583333333333333,0.927536231884058,0.541666666666667,0.963768115942029,0.333333333333333,0.142857142857143,"coupled","efa_d",215,424
20,6,120,1,0.3,24,21,255,0.462651945572992,0.51604684654214,0.666666666666667,0.91304347826087,0.625,0.945652173913043,0.428571428571429,0.142857142857143,"coupled","efa_d",215,424
20,6,120,1,0.5,24,21,255,0.44758308832832,0.505368809837663,0.666666666666667,0.905797101449275,0.625,0.942028985507246,0.428571428571429,0.19047619047619,"coupled","efa_d",215,424
20,6,120,1,0.7,24,21,255,0.560473402386419,0.524632209513003,0.875,0.894927536231884,0.666666666666667,0.938405797101449,0.428571428571429,0.19047619047619,"coupled","efa_d",215,424
20,6,120,1,0.9,24,21,255,0.533448754742767,0.48725908793342,0.875,0.880434782608696,0.666666666666667,0.923913043478261,0.428571428571429,0.238095238095238,"coupled","efa_d",215,424
