"nF","ipf","total_items","rep","method","z_threshold","mcc","sens","spec","noise_flagged","oracle_mcc"
4,3,12,1,"efa_d",1.1,0.0987223985415831,0.863636363636364,0.309352517985612,0.782608695652174,0.166567142710999
4,3,12,1,"efa_d",1.3,0.0947286127222732,0.909090909090909,0.244604316546763,0.826086956521739,0.166567142710999
4,3,12,1,"efa_d",1.5,0.0691344342533096,0.909090909090909,0.194244604316547,0.869565217391304,0.166567142710999
4,3,12,1,"efa_d",1.7,0.0785774607138355,0.954545454545455,0.151079136690647,0.869565217391304,0.166567142710999
4,3,12,1,"efa_d",1.9,0.0645324495537322,0.954545454545455,0.12589928057554,0.869565217391304,0.166567142710999
4,3,12,1,"efa_d",2.1,0.0358212673249558,0.954545454545455,0.0827338129496403,0.869565217391304,0.166567142710999
4,3,12,1,"efa_d",2.3,0.020649916910064,0.954545454545455,0.0647482014388489,0.91304347826087,0.166567142710999
4,3,12,1,"efa_d",2.5,0.00586704550750721,0.954545454545455,0.0503597122302158,0.91304347826087,0.166567142710999
4,3,12,1,"efa_d",2.7,-0.0189957851841391,0.954545454545455,0.0323741007194245,0.956521739130435,0.166567142710999
4,3,12,1,"efa_d",2.9,0.0401874918725943,1,0.0215827338129496,1,0.166567142710999
4,3,12,1,"efa_d_cf",0.1,0.11587541697669,0.590909090909091,0.62589928057554,0.565217391304348,0.190265642243367
4,3,12,1,"efa_d_cf",0.3,0.0995456281630342,0.636363636363636,0.553956834532374,0.608695652173913,0.190265642243367
4,3,12,1,"efa_d_cf",0.5,0.0911158580000101,0.681818181818182,0.492805755395683,0.652173913043478,0.190265642243367
4,3,12,1,"efa_d_cf",0.7,0.0839407083667439,0.727272727272727,0.431654676258993,0.695652173913043,0.190265642243367
4,3,12,1,"efa_d_cf",0.9,0.0920755020003925,0.772727272727273,0.399280575539568,0.695652173913043,0.190265642243367
4,3,12,1,"efa_d_cf",1.1,0.0632920705944339,0.772727272727273,0.341726618705036,0.739130434782609,0.190265642243367
4,3,12,1,"efa_d_cf",1.3,0.0633741826973356,0.818181818181818,0.29136690647482,0.739130434782609,0.190265642243367
4,3,12,1,"efa_d_cf",1.5,0.0738253703431308,0.863636363636364,0.258992805755396,0.826086956521739,0.190265642243367
4,3,12,1,"efa_d_cf",1.7,0.0587439022001086,0.863636363636364,0.23021582733813,0.869565217391304,0.190265642243367
4,3,12,1,"efa_d_cf",1.9,0.0405819047115699,0.863636363636364,0.197841726618705,0.869565217391304,0.190265642243367
4,3,12,1,"efa_d_cf",2.1,0.0571848859733081,0.909090909090909,0.172661870503597,0.869565217391304,0.190265642243367
4,3,12,1,"efa_d_cf",2.3,0.0420863798869769,0.909090909090909,0.147482014388489,0.869565217391304,0.190265642243367
4,3,12,1,"efa_d_cf",2.5,0.025183394947798,0.909090909090909,0.122302158273381,0.869565217391304,0.190265642243367
4,3,12,1,"efa_d_cf",2.7,0.0114821476472177,0.909090909090909,0.10431654676259,0.869565217391304,0.190265642243367
4,3,12,1,"efa_d_cf",2.9,0.0358212673249558,0.954545454545455,0.0827338129496403,0.869565217391304,0.190265642243367
4,3,12,1,"iterative",0.1,0.148579099733674,0.636363636363636,0.640287769784173,0.608695652173913,0.153114263289292
4,3,12,1,"iterative",0.3,0.131083743677814,0.681818181818182,0.568345323741007,0.695652173913043,0.153114263289292
4,3,12,1,"iterative",0.5,0.100240509871269,0.727272727272727,0.464028776978417,0.695652173913043,0.153114263289292
4,3,12,1,"iterative",0.7,0.0712700062972714,0.727272727272727,0.406474820143885,0.695652173913043,0.153114263289292
4,3,12,1,"iterative",0.9,0.0418312124871188,0.727272727272727,0.348920863309353,0.782608695652174,0.153114263289292
4,3,12,1,"iterative",1.1,0.0369484493229293,0.772727272727273,0.29136690647482,0.782608695652174,0.153114263289292
4,3,12,1,"iterative",1.3,0.0567970059984369,0.863636363636364,0.226618705035971,0.869565217391304,0.153114263289292
4,3,12,1,"iterative",1.5,0.0612544506182683,0.909090909090909,0.179856115107914,0.869565217391304,0.153114263289292
4,3,12,1,"iterative",1.7,0.0374741157743888,0.909090909090909,0.140287769784173,0.869565217391304,0.153114263289292
4,3,12,1,"iterative",1.9,0.0171642252849257,0.909090909090909,0.111510791366906,0.869565217391304,0.153114263289292
4,3,12,1,"iterative",2.1,0.0330011959985155,0.954545454545455,0.079136690647482,0.91304347826087,0.153114263289292
4,3,12,1,"iterative",2.3,0.00986394050030015,0.954545454545455,0.0539568345323741,0.956521739130435,0.153114263289292
4,3,12,1,"iterative",2.5,-0.00293076956426506,0.954545454545455,0.0431654676258993,0.956521739130435,0.153114263289292
4,3,12,1,"iterative",2.7,0.0494724824005282,1,0.0323741007194245,0.956521739130435,0.153114263289292
4,3,12,1,"iterative",2.9,0.0434814634128159,1,0.0251798561151079,1,0.153114263289292
4,3,12,1,"pf_mean",0.1,0.183974001085412,0.681818181818182,0.658273381294964,0.478260869565217,0.196852713298134
4,3,12,1,"pf_mean",0.3,0.138637133711102,0.772727272727273,0.492805755395683,0.565217391304348,0.196852713298134
4,3,12,1,"pf_mean",0.5,0.0705744941195103,0.772727272727273,0.356115107913669,0.739130434782609,0.196852713298134
4,3,12,1,"pf_mean",0.7,0.0322079324206293,0.818181818181818,0.233812949640288,0.826086956521739,0.196852713298134
4,3,12,1,"pf_mean",0.9,0.100240509871269,0.954545454545455,0.194244604316547,0.826086956521739,0.196852713298134
4,3,12,1,"pf_mean",1.1,0.066627059145124,0.954545454545455,0.129496402877698,0.869565217391304,0.196852713298134
4,3,12,1,"pf_mean",1.3,0.023922154107888,0.954545454545455,0.0683453237410072,0.91304347826087,0.196852713298134
4,3,12,1,"pf_mean",1.5,-0.0254858242669388,0.954545454545455,0.0287769784172662,0.956521739130435,0.196852713298134
4,3,12,1,"pf_mean",1.7,0.0366237606136064,1,0.0179856115107914,0.956521739130435,0.196852713298134
4,3,12,1,"pf_mean",1.9,0,1,0,1,0.196852713298134
4,3,12,1,"pf_mean",2.1,0,1,0,1,0.196852713298134
4,3,12,1,"pf_mean",2.3,0,1,0,1,0.196852713298134
4,3,12,1,"pf_mean",2.5,0,1,0,1,0.196852713298134
4,3,12,1,"pf_mean",2.7,0,1,0,1,0.196852713298134
4,3,12,1,"pf_mean",2.9,0,1,0,1,0.196852713298134
4,3,12,1,"pf_comb_l0.5",0.1,0.0127869292321891,0.818181818181818,0.201438848920863,0.782608695652174,0.111377325380878
4,3,12,1,"pf_comb_l0.5",0.3,-0.0308957817667403,0.818181818181818,0.140287769784173,0.869565217391304,0.111377325380878
4,3,12,1,"pf_comb_l0.5",0.5,-0.0204375848351663,0.863636363636364,0.111510791366906,0.869565217391304,0.111377325380878
4,3,12,1,"pf_comb_l0.5",0.7,0.0689477638349106,1,0.0611510791366906,0.91304347826087,0.111377325380878
4,3,12,1,"pf_comb_l0.5",0.9,0.0522384092563825,1,0.0359712230215827,0.91304347826087,0.111377325380878
4,3,12,1,"pf_comb_l0.5",1.1,0.0522384092563825,1,0.0359712230215827,0.91304347826087,0.111377325380878
4,3,12,1,"pf_comb_l0.5",1.3,0,1,0,1,0.111377325380878
4,3,12,1,"pf_comb_l0.5",1.5,0,1,0,1,0.111377325380878
4,3,12,1,"pf_comb_l0.5",1.7,0,1,0,1,0.111377325380878
4,3,12,1,"pf_comb_l0.5",1.9,0,1,0,1,0.111377325380878
4,3,12,1,"pf_comb_l0.5",2.1,0,1,0,1,0.111377325380878
4,3,12,1,"pf_comb_l0.5",2.3,0,1,0,1,0.111377325380878
4,3,12,1,"pf_comb_l0.5",2.5,0,1,0,1,0.111377325380878
4,3,12,1,"pf_comb_l0.5",2.7,0,1,0,1,0.111377325380878
4,3,12,1,"pf_comb_l0.5",2.9,0,1,0,1,0.111377325380878
4,3,12,1,"pf_comb_l1.0",0.1,-0.0113119791552492,0.909090909090909,0.079136690647482,0.91304347826087,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",0.3,0.0136420709192069,0.954545454545455,0.0575539568345324,0.91304347826087,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",0.5,-0.0189957851841391,0.954545454545455,0.0323741007194245,0.91304347826087,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",0.7,0.0401874918725943,1,0.0215827338129496,0.956521739130435,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",0.9,0.0282729643226657,1,0.0107913669064748,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",1.1,0.0162687186397353,1,0.00359712230215827,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",1.3,0,1,0,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",1.5,0,1,0,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",1.7,0,1,0,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",1.9,0,1,0,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",2.1,0,1,0,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",2.3,0,1,0,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",2.5,0,1,0,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",2.7,0,1,0,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.0",2.9,0,1,0,1,0.0465631668906864
4,3,12,1,"pf_comb_l1.5",0.1,-0.0131537320645557,0.954545454545455,0.0359712230215827,0.956521739130435,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",0.3,-0.0328058675820745,0.954545454545455,0.0251798561151079,0.956521739130435,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",0.5,0.0366237606136064,1,0.0179856115107914,0.956521739130435,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",0.7,0.0282729643226657,1,0.0107913669064748,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",0.9,0.0162687186397353,1,0.00359712230215827,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",1.1,0.0162687186397353,1,0.00359712230215827,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",1.3,0,1,0,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",1.5,0,1,0,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",1.7,0,1,0,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",1.9,0,1,0,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",2.1,0,1,0,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",2.3,0,1,0,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",2.5,0,1,0,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",2.7,0,1,0,1,0.0366237606136064
4,3,12,1,"pf_comb_l1.5",2.9,0,1,0,1,0.0366237606136064
4,3,12,1,"proplow_fz0.5",0.1,0.0522384092563825,1,0.0359712230215827,0.956521739130435,0.107327636922365
4,3,12,1,"proplow_fz0.5",0.2,0.0522384092563825,1,0.0359712230215827,0.956521739130435,0.107327636922365
4,3,12,1,"proplow_fz0.5",0.3,0.0522384092563825,1,0.0359712230215827,0.956521739130435,0.107327636922365
4,3,12,1,"proplow_fz0.5",0.4,0.107327636922365,0.863636363636364,0.327338129496403,0.782608695652174,0.107327636922365
4,3,12,1,"proplow_fz0.5",0.5,0.107327636922365,0.863636363636364,0.327338129496403,0.782608695652174,0.107327636922365
4,3,12,1,"proplow_fz0.5",0.6,0.107327636922365,0.863636363636364,0.327338129496403,0.782608695652174,0.107327636922365
4,3,12,1,"proplow_fz0.5",0.7,0.0802733891435208,0.318181818181818,0.805755395683453,0.260869565217391,0.107327636922365
4,3,12,1,"proplow_fz0.5",0.8,0.0802733891435208,0.318181818181818,0.805755395683453,0.260869565217391,0.107327636922365
4,3,12,1,"proplow_fz1.0",0.1,0.0230460133033402,1,0.00719424460431655,1,0.150770735765591
4,3,12,1,"proplow_fz1.0",0.2,0.0230460133033402,1,0.00719424460431655,1,0.150770735765591
4,3,12,1,"proplow_fz1.0",0.3,0.0230460133033402,1,0.00719424460431655,1,0.150770735765591
4,3,12,1,"proplow_fz1.0",0.4,0.00819273397986335,0.863636363636364,0.147482014388489,0.826086956521739,0.150770735765591
4,3,12,1,"proplow_fz1.0",0.5,0.00819273397986335,0.863636363636364,0.147482014388489,0.826086956521739,0.150770735765591
4,3,12,1,"proplow_fz1.0",0.6,0.00819273397986335,0.863636363636364,0.147482014388489,0.826086956521739,0.150770735765591
4,3,12,1,"proplow_fz1.0",0.7,0.150770735765591,0.636363636363636,0.643884892086331,0.521739130434783,0.150770735765591
4,3,12,1,"proplow_fz1.0",0.8,0.150770735765591,0.636363636363636,0.643884892086331,0.521739130434783,0.150770735765591
4,3,12,1,"proplow_fz1.5",0.1,0,1,0,1,0.157015269164373
4,3,12,1,"proplow_fz1.5",0.2,0,1,0,1,0.157015269164373
