"size","rate","rep","scenario","tau","mcc_full","f1_full","mcc_norr","f1_norr","mcc_triad","f1_triad","delta_mcc","delta_f1"
100,0.2,1,"B",0.4,0.680518905721141,0.721804511278195,0.612190281167935,0.661417322834646,0.713478194225925,0.75,0.0683286245532062,0.0603871884435497
100,0.2,2,"A",0.6,0.733194656801251,0.75,0.634075139120974,0.666666666666667,0.733194656801251,0.75,0.0991195176802776,0.0833333333333335
100,0.2,2,"B",0.4,0.602765428665276,0.65,0.476373593987777,0.532110091743119,0.590124111897836,0.638655462184874,0.126391834677499,0.117889908256881
100,0.2,3,"A",0.6,0.638484050323615,0.673684210526316,0.622319577748271,0.659574468085106,0.638484050323615,0.673684210526316,0.0161644725753444,0.0141097424412094
100,0.2,3,"B",0.4,0.533334707296566,0.588235294117647,0.520613224816525,0.576271186440678,0.520613224816525,0.576271186440678,0.0127214824800415,0.0119641076769692
100,0.2,4,"A",0.6,0.706347624849966,0.729166666666667,0.690329714258595,0.715789473684211,0.624376427744653,0.659340659340659,0.016017910591371,0.0133771929824561
100,0.2,4,"B",0.4,0.627066068111558,0.672131147540984,0.614790298455879,0.661157024793388,0.525258490527144,0.578947368421053,0.0122757696556789,0.0109741227475952
100,0.2,5,"A",0.6,0.675781979886212,0.703296703296703,0.651085628461799,0.681318681318681,0.700905464769024,0.723404255319149,0.0246963514244131,0.0219780219780219
100,0.2,5,"B",0.4,0.664213781605927,0.704,0.627683333810636,0.672131147540984,0.63996885537938,0.682926829268293,0.0365304477952902,0.0318688524590165
100,0.4,1,"A",0.6,0.740535126527225,0.795031055900621,0.677270685108563,0.74025974025974,0.749415254199743,0.802469135802469,0.0632644414186623,0.0547713156408808
100,0.4,1,"B",0.4,0.619391063393547,0.691943127962085,0.565376095518259,0.640394088669951,0.606076402513918,0.679425837320574,0.0540149678752878,0.0515490392921346
100,0.4,2,"A",0.6,0.746947861513797,0.8,0.692425062089755,0.753246753246753,0.762771444234773,0.8125,0.0545227994240418,0.0467532467532468
100,0.4,2,"B",0.4,0.55586946419246,0.626865671641791,0.571527951536984,0.647342995169082,0.58495514669239,0.660287081339713,-0.0156584873445247,-0.020477323527291
100,0.4,3,"A",0.6,0.769277108433735,0.819277108433735,0.671459975204695,0.735483870967742,0.734235533508882,0.790123456790123,0.0978171332290403,0.0837932374659931
100,0.4,3,"B",0.4,0.554781659313862,0.630541871921182,0.469030609819295,0.544502617801047,0.476442945051383,0.552083333333333,0.0857510494945672,0.0860392541201351
100,0.4,4,"A",0.6,0.750993943387207,0.802547770700637,0.664655714455633,0.726027397260274,0.732612998741329,0.787096774193548,0.0863382289315736,0.076520373440363
100,0.4,4,"B",0.4,0.624646426347044,0.69811320754717,0.595391622225985,0.666666666666667,0.535421676059526,0.613065326633166,0.0292548041210592,0.031446540880503
100,0.4,5,"A",0.6,0.757692307692308,0.807692307692308,0.682511302706174,0.743243243243243,0.755471945841779,0.805194805194805,0.0751810049861339,0.0644490644490644
100,0.4,5,"B",0.4,0.626005447732569,0.69811320754717,0.565376095518259,0.640394088669951,0.606076402513918,0.679425837320574,0.0606293522143102,0.057719118877219
150,0.2,1,"A",0.6,0.71980243255407,0.739130434782609,0.661367543284367,0.688888888888889,0.695228727919865,0.717391304347826,0.0584348892697033,0.0502415458937199
150,0.2,1,"B",0.4,0.64418320466999,0.688,0.570800479851463,0.621848739495798,0.584063527592965,0.632478632478633,0.0733827248185269,0.0661512605042016
