size,rate,rep,scenario,tau,mcc_full,f1_full,mcc_norr,f1_norr,delta_mcc,delta_f1
80,0.1,5,B,0.4,0.516061439265292,0.5405405405405405,0.516061439265292,0.5405405405405405,0.0,0.0
80,0.1,6,B,0.4,0.5498323973297269,0.5675675675675675,0.5269840184637936,0.547945205479452,0.022848378865933272,0.01962236208811552
80,0.1,7,B,0.4,0.5723088951594519,0.5866666666666667,0.5944317033852126,0.6052631578947368,-0.022122808225760626,-0.018596491228070167
80,0.1,8,B,0.4,0.49322067471713177,0.5205479452054794,0.49322067471713177,0.5205479452054794,0.0,0.0
80,0.1,9,B,0.4,0.5277165647133114,0.5526315789473684,0.5277165647133114,0.5526315789473684,0.0,0.0
80,0.1,10,B,0.4,0.5037442069176795,0.5277777777777777,0.43145721685738775,0.463768115942029,0.07228699006029177,0.06400966183574869
80,0.1,11,B,0.4,0.5606072028945467,0.5789473684210527,0.49322067471713177,0.5205479452054794,0.06738652817741492,0.05839942321557323
80,0.1,12,B,0.4,0.4907060839923518,0.5142857142857143,0.4411939127399698,0.47058823529411764,0.04951217125238205,0.043697478991596705
80,0.2,1,B,0.4,0.6422127837482745,0.6833333333333332,0.5645016083883369,0.6140350877192983,0.07771117535993766,0.06929824561403497
80,0.2,2,B,0.4,0.5708004798514626,0.6218487394957983,0.5188137860627534,0.5739130434782609,0.05198669378870924,0.047935696017537444
80,0.2,3,B,0.4,0.5834537596401997,0.6333333333333334,0.5450929045294322,0.5982905982905983,0.03836085511076759,0.03504273504273514
80,0.2,4,B,0.4,0.5901241118978364,0.6386554621848739,0.564452646841175,0.6153846153846154,0.025671465056661402,0.023270846800258482
80,0.2,5,B,0.4,0.5706745313013794,0.6229508196721313,0.5828639656656244,0.6341463414634146,-0.012189434364245022,-0.011195521791283358
80,0.2,6,B,0.4,0.6254089614075361,0.672,0.5645116857605751,0.6166666666666666,0.06089727564696101,0.055333333333333456
80,0.2,7,B,0.4,0.48154105431175803,0.5391304347826086,0.5459150675612828,0.6000000000000001,-0.0643740132495248,-0.06086956521739151
80,0.2,8,B,0.4,0.6650569706848027,0.7076923076923077,0.6420921393114669,0.6875,0.022964831373335826,0.02019230769230773
80,0.2,9,B,0.4,0.6957927435663529,0.7301587301587301,0.6595512185991261,0.6991869918699187,0.03624152496722677,0.03097173828881139
80,0.2,10,B,0.4,0.4557370667833162,0.5137614678899083,0.4839249091376092,0.5405405405405406,-0.028187842354293002,-0.026779072650632285
80,0.2,11,B,0.4,0.5382275216243982,0.5913043478260869,0.511402266020679,0.5663716814159292,0.02682525560371929,0.024932666410157678
80,0.2,12,B,0.4,0.5645116857605751,0.6166666666666666,0.5519580200663893,0.6050420168067226,0.012553665694185812,0.011624649859943936
80,0.4,1,B,0.4,0.5371301125414736,0.6146341463414634,0.5234044945460956,0.6009852216748769,0.01372561799537797,0.013648924666586515
80,0.4,2,B,0.4,0.5982547293194673,0.6729857819905214,0.5021636754123773,0.5786802030456852,0.09609105390709005,0.09430557894483615
80,0.4,3,B,0.4,0.6421400592723535,0.7149321266968327,0.6294070255597509,0.7031963470319634,0.012733033712602593,0.011735779664869272
80,0.4,4,B,0.4,0.5354216760595256,0.6130653266331658,0.528300213892442,0.6060606060606061,0.0071214621670836475,0.007004720572559742
80,0.4,5,B,0.4,0.5949417964875674,0.6699029126213593,0.581192764500657,0.6568627450980391,0.013749031986910354,0.013040167523320156
80,0.4,6,B,0.4,0.5944036498875555,0.6698113207547169,0.5543153787251993,0.6310679611650486,0.04008827116235614,0.03874335958966835
80,0.4,7,B,0.4,0.526914732448862,0.6030150753768845,0.42331129804734013,0.49729729729729727,0.10360343440152187,0.10571777807958721
80,0.4,8,B,0.4,0.6245017918102025,0.6976744186046511,0.5849551466923902,0.6602870813397129,0.03954664511781225,0.03738733726493815
80,0.4,9,B,0.4,0.5339421748014911,0.61,0.5339421748014911,0.61,0.0,0.0
80,0.4,10,B,0.4,0.6544823981823945,0.7247706422018348,0.5547816593138618,0.6305418719211823,0.0997007388685327,0.09422877028065257
80,0.4,11,B,0.4,0.44776270248524935,0.5235602094240839,0.42503981413343295,0.5,0.022722888351816406,0.023560209424083878
80,0.4,12,B,0.4,0.5916203897283004,0.6666666666666666,0.5234018514113261,0.6,0.06821853831697433,0.06666666666666665
80,0.6,1,B,0.4,0.5564589284286687,0.6575342465753424,0.5,0.6000000000000001,0.05645892842866873,0.05753424657534234
80,0.6,2,B,0.4,0.5425208018860926,0.6435986159169551,0.5143034925636163,0.6148409893992933,0.028217309322476347,0.028757626517661783
80,0.6,3,B,0.4,0.5095512131016741,0.6099290780141844,0.45614227260576157,0.5535055350553505,0.053408940495912494,0.056423542958833894
80,0.6,4,B,0.4,0.5378509223571529,0.6388888888888888,0.5378509223571529,0.6388888888888888,0.0,0.0
80,0.6,5,B,0.4,0.5047835506672684,0.604982206405694,0.49038314245407305,0.5899280575539568,0.014400408213195381,0.01505414885173717
80,0.6,6,B,0.4,0.5331684286847094,0.6341463414634146,0.49038314245407305,0.5899280575539568,0.04278528623063632,0.04421828390945781
80,0.6,7,B,0.4,0.5190408809237503,0.6197183098591549,0.4806963076905793,0.5797101449275363,0.03834457323317103,0.04000816493161863
80,0.6,8,B,0.4,0.5237638572162521,0.6245614035087719,0.4855487527132736,0.5848375451263538,0.03821510450297849,0.0397238583824181
80,0.6,9,B,0.4,0.45116864545597307,0.548148148148148,0.45614227260576157,0.5535055350553505,-0.004973627149788495,-0.005357386907202444
80,0.6,10,B,0.4,0.5284728881650641,0.6293706293706294,0.46602473742145206,0.5641025641025641,0.06244815074361204,0.06526806526806528
80,0.6,11,B,0.4,0.5047835506672684,0.604982206405694,0.5143034925636163,0.6148409893992933,-0.009519941896347861,-0.009858782993599324
80,0.6,12,B,0.4,0.5840486172336791,0.6845637583892616,0.5190408809237503,0.6197183098591549,0.06500773630992873,0.06484544853010676
100,0.1,1,B,0.4,0.4560044284095036,0.48571428571428565,0.4560044284095036,0.48571428571428565,0.0,0.0
100,0.1,2,B,0.4,0.538517204332862,0.56,0.516061439265292,0.5405405405405405,0.022455765067569966,0.019459459459459594
100,0.1,3,B,0.4,0.5056343918804952,0.5333333333333333,0.5494387843623484,0.5714285714285714,-0.043804392481853194,-0.03809523809523807
100,0.1,4,B,0.4,0.5845905847763572,0.5945945945945946,0.4907060839923518,0.5142857142857143,0.09388450078400534,0.08030888030888028
100,0.1,5,B,0.4,0.6095217286395631,0.6265060240963856,0.5492448464897186,0.575,0.0602768821498445,0.051506024096385605
100,0.1,6,B,0.4,0.4699742031035358,0.5,0.5606072028945467,0.5789473684210527,-0.09063299979101086,-0.07894736842105265
100,0.1,7,B,0.4,0.538517204332862,0.56,0.42217299051361706,0.4571428571428572,0.11634421381924492,0.10285714285714287
100,0.1,8,B,0.4,0.5606072028945467,0.5789473684210527,0.49322067471713177,0.5205479452054794,0.06738652817741492,0.05839942321557323
100,0.1,9,B,0.4,0.6162177763161811,0.6233766233766235,0.5944317033852126,0.6052631578947368,0.02178607293096857,0.018113465481886637
100,0.1,10,B,0.4,0.570818663587491,0.5897435897435898,0.570818663587491,0.5897435897435898,0.0,0.0
100,0.1,11,B,0.4,0.3966908111960821,0.4383561643835617,0.373252888404694,0.41666666666666663,0.02343792279138812,0.021689497716895045
100,0.1,12,B,0.4,0.538517204332862,0.56,0.49322067471713177,0.5205479452054794,0.04529652961573022,0.03945205479452063
100,0.2,1,B,0.4,0.5392677706701345,0.5932203389830507,0.5264352922572346,0.5811965811965811,0.012832478412899917,0.01202375778646958
100,0.2,2,B,0.4,0.5645116857605751,0.6166666666666666,0.5519580200663893,0.6050420168067226,0.012553665694185812,0.011624649859943936
100,0.2,3,B,0.4,0.5382275216243982,0.5913043478260869,0.524893019531451,0.5789473684210527,0.013334502092947287,0.012356979405034219
100,0.2,4,B,0.4,0.6328447774060589,0.6774193548387097,0.595980168164119,0.6446280991735538,0.036864609241939905,0.03279125566515595
100,0.2,5,B,0.4,0.5708004798514626,0.6218487394957983,0.5708004798514626,0.6218487394957983,0.0,0.0
100,0.2,6,B,0.4,0.6201879394870995,0.6666666666666666,0.558135339278174,0.6101694915254238,0.062052600208925446,0.05649717514124286
100,0.2,7,B,0.4,0.6763982767241634,0.7175572519083969,0.5949329798202976,0.6451612903225806,0.08146529690386584,0.07239596158581629
100,0.2,8,B,0.4,0.6804859930520254,0.71875,0.5834537596401997,0.6333333333333334,0.09703223341182565,0.08541666666666659
100,0.2,9,B,0.4,0.6027654286652765,0.6499999999999999,0.5514120767670463,0.603448275862069,0.051353351898230204,0.04655172413793096
100,0.2,10,B,0.4,0.5514120767670463,0.603448275862069,0.524893019531451,0.5789473684210527,0.026519057235595334,0.024500907441016295
100,0.2,11,B,0.4,0.6441832046699896,0.688,0.5708004798514626,0.6218487394957983,0.07338272481852692,0.06615126050420161
100,0.2,12,B,0.4,0.616823533956184,0.6610169491525423,0.6039434330489358,0.6495726495726496,0.012880100907248115,0.01144429957989268
100,0.4,1,B,0.4,0.5954773335584551,0.6698564593301436,0.5547816593138618,0.6305418719211823,0.040695674244593305,0.03931458740896132
100,0.4,2,B,0.4,0.6553162325885777,0.725581395348837,0.5532710004066543,0.63,0.1020452321819234,0.09558139534883703
100,0.4,3,B,0.4,0.6462121659854972,0.7181818181818183,0.6009748492366518,0.6760563380281689,0.04523731674884546,0.042125480153649364
100,0.4,4,B,0.4,0.6087833423338894,0.6824644549763034,0.5616514424410328,0.6372549019607844,0.0471318998928566,0.04520955301551899
100,0.4,5,B,0.4,0.6403201960102054,0.7129629629629629,0.6271813274775043,0.7009345794392523,0.013138868532701076,0.012028383523710606
100,0.4,6,B,0.4,0.6567219865349356,0.7272727272727273,0.5916203897283004,0.6666666666666666,0.06510159680663519,0.06060606060606066
100,0.4,7,B,0.4,0.5406756002835547,0.6176470588235294,0.4699500754192585,0.5463917525773195,0.07072552486429617,0.0712553062462099
100,0.4,8,B,0.4,0.5478743442775147,0.6237623762376238,0.5055703858953169,0.5816326530612244,0.042303958382197804,0.0421297231763994
100,0.4,9,B,0.4,0.6525040764335138,0.7211538461538461,0.6728030708745617,0.7393364928909952,-0.02029899444104788,-0.01818264673714909
100,0.4,10,B,0.4,0.5303942366859307,0.6069651741293532,0.544256759488016,0.6206896551724138,-0.01386252280208533,-0.013724481043060566
100,0.4,11,B,0.4,0.5982547293194673,0.6729857819905214,0.551129474842381,0.627450980392157,0.047125254477086376,0.04553480159836443
100,0.4,12,B,0.4,0.6673347145776265,0.7377777777777778,0.623003991710106,0.6972477064220184,0.04433072286752049,0.04053007135575937
100,0.6,1,B,0.4,0.4758252258056096,0.5745454545454545,0.46602473742145206,0.5641025641025641,0.009800488384157535,0.010442890442890373
100,0.6,2,B,0.4,0.588614046391706,0.6889632107023411,0.5143034925636163,0.6148409893992933,0.07431055382808971,0.0741222213030478
100,0.6,3,B,0.4,0.5190408809237503,0.6197183098591549,0.5378509223571529,0.6388888888888888,-0.01881004143340259,-0.01917057902973396
100,0.6,4,B,0.4,0.5931710140017395,0.6933333333333332,0.5471784895299698,0.6482758620689656,0.045992524471769713,0.045057471264367654
