size,rate,condition,rep,pattern,n,detection,detection_norr,mean_corruption
60,0.4,realistic,3,fatigue,13,0.3076923076923077,0.38461538461538464,0.5769230769230769
60,0.4,realistic,3,language_barrier,13,0.5384615384615384,0.5384615384615384,0.6064102564102565
60,0.4,realistic,3,longstring,14,0.21428571428571427,0.35714285714285715,0.5714285714285714
60,0.4,realistic,3,mixed,13,0.46153846153846156,0.23076923076923078,0.5230769230769232
60,0.4,realistic,3,positional_fatigue,13,0.38461538461538464,0.46153846153846156,0.47692307692307667
60,0.4,realistic,3,pure_straight,14,0.6428571428571429,0.5714285714285714,0.5285714285714285
60,0.4,realistic,3,random,14,0.21428571428571427,0.21428571428571427,0.5357142857142857
60,0.4,realistic,4,acquiescent,13,0.38461538461538464,0.5384615384615384,0.5923076923076923
60,0.4,realistic,4,anchor_noise,13,0.46153846153846156,0.38461538461538464,0.49999999999999994
60,0.4,realistic,4,fatigue,13,0.15384615384615385,0.15384615384615385,0.5615384615384615
60,0.4,realistic,4,language_barrier,13,0.46153846153846156,0.3076923076923077,0.5128205128205128
60,0.4,realistic,4,longstring,14,0.42857142857142855,0.42857142857142855,0.55
60,0.4,realistic,4,mixed,13,0.15384615384615385,0.23076923076923078,0.5615384615384615
60,0.4,realistic,4,positional_fatigue,13,0.38461538461538464,0.3076923076923077,0.5141025641025639
60,0.4,realistic,4,pure_straight,14,0.6428571428571429,0.7142857142857143,0.5642857142857143
60,0.4,realistic,4,random,14,0.35714285714285715,0.35714285714285715,0.5285714285714286
120,0.2,clean,1,acquiescent,10,0.6,0.7,0.55
120,0.2,clean,1,fatigue,10,0.2,0.2,0.5499999999999999
120,0.2,clean,1,longstring,10,0.7,0.6,0.55
120,0.2,clean,1,mixed,10,0.2,0.1,0.55
120,0.2,clean,1,pure_straight,10,0.6,0.6,0.5499999999999999
120,0.2,clean,1,random,10,0.5,0.2,0.55
120,0.2,clean,2,acquiescent,10,0.5,0.5,0.55
120,0.2,clean,2,fatigue,10,0.5,0.6,0.5499999999999999
120,0.2,clean,2,longstring,10,0.3,0.3,0.55
120,0.2,clean,2,mixed,10,0.3,0.3,0.5499999999999999
120,0.2,clean,2,pure_straight,10,0.7,0.7,0.55
120,0.2,clean,2,random,10,0.5,0.3,0.55
120,0.2,clean,3,acquiescent,10,0.5,0.6,0.55
120,0.2,clean,3,fatigue,10,0.5,0.4,0.55
120,0.2,clean,3,longstring,10,0.5,0.4,0.55
120,0.2,clean,3,mixed,10,0.3,0.2,0.55
120,0.2,clean,3,pure_straight,10,0.8,0.7,0.5499999999999999
120,0.2,clean,3,random,10,0.4,0.3,0.55
120,0.2,clean,4,acquiescent,10,0.5,0.5,0.5499999999999999
120,0.2,clean,4,fatigue,10,0.5,0.4,0.5499999999999999
120,0.2,clean,4,longstring,10,0.4,0.3,0.55
120,0.2,clean,4,mixed,10,0.3,0.3,0.55
120,0.2,clean,4,pure_straight,10,0.8,0.7,0.5499999999999999
120,0.2,clean,4,random,10,0.2,0.2,0.55
120,0.2,realistic,1,acquiescent,7,0.5714285714285714,0.42857142857142855,0.5
120,0.2,realistic,1,anchor_noise,6,0.5,0.3333333333333333,0.45
120,0.2,realistic,1,fatigue,7,0.42857142857142855,0.42857142857142855,0.5571428571428572
120,0.2,realistic,1,language_barrier,6,0.5,0.5,0.5027777777777778
120,0.2,realistic,1,longstring,7,0.5714285714285714,0.2857142857142857,0.5
120,0.2,realistic,1,mixed,7,0.2857142857142857,0.42857142857142855,0.5285714285714286
120,0.2,realistic,1,positional_fatigue,6,0.5,0.16666666666666666,0.4694444444444445
120,0.2,realistic,1,pure_straight,7,0.5714285714285714,0.7142857142857143,0.7000000000000001
120,0.2,realistic,1,random,7,0.42857142857142855,0.0,0.5142857142857143
120,0.2,realistic,2,acquiescent,7,0.5714285714285714,0.5714285714285714,0.5142857142857142
120,0.2,realistic,2,anchor_noise,6,0.16666666666666666,0.16666666666666666,0.4166666666666667
120,0.2,realistic,2,fatigue,7,0.2857142857142857,0.2857142857142857,0.5428571428571429
120,0.2,realistic,2,language_barrier,6,0.5,0.3333333333333333,0.46249999999999997
120,0.2,realistic,2,longstring,7,0.42857142857142855,0.2857142857142857,0.5999999999999999
120,0.2,realistic,2,mixed,7,0.42857142857142855,0.2857142857142857,0.5
120,0.2,realistic,2,positional_fatigue,6,0.3333333333333333,0.5,0.46527777777777773
120,0.2,realistic,2,pure_straight,7,0.5714285714285714,0.5714285714285714,0.5142857142857143
120,0.2,realistic,2,random,7,0.42857142857142855,0.5714285714285714,0.6857142857142857
120,0.2,realistic,3,acquiescent,7,0.42857142857142855,0.5714285714285714,0.6571428571428571
120,0.2,realistic,3,anchor_noise,6,0.16666666666666666,0.16666666666666666,0.6000000000000001
120,0.2,realistic,3,fatigue,7,0.2857142857142857,0.2857142857142857,0.6
120,0.2,realistic,3,language_barrier,6,0.16666666666666666,0.3333333333333333,0.6402777777777778
120,0.2,realistic,3,longstring,7,0.2857142857142857,0.2857142857142857,0.4428571428571429
120,0.2,realistic,3,mixed,7,0.2857142857142857,0.14285714285714285,0.4571428571428572
120,0.2,realistic,3,positional_fatigue,6,0.5,0.5,0.5097222222222223
120,0.2,realistic,3,pure_straight,7,0.42857142857142855,0.42857142857142855,0.4857142857142857
120,0.2,realistic,3,random,7,0.42857142857142855,0.2857142857142857,0.5428571428571428
120,0.2,realistic,4,acquiescent,7,0.2857142857142857,0.42857142857142855,0.5714285714285714
120,0.2,realistic,4,anchor_noise,6,0.5,0.5,0.5833333333333334
120,0.2,realistic,4,fatigue,7,0.42857142857142855,0.42857142857142855,0.5
120,0.2,realistic,4,language_barrier,6,0.5,0.3333333333333333,0.5124999999999998
120,0.2,realistic,4,longstring,7,0.7142857142857143,0.5714285714285714,0.5000000000000001
120,0.2,realistic,4,mixed,7,0.5714285714285714,0.2857142857142857,0.5142857142857142
120,0.2,realistic,4,positional_fatigue,6,0.16666666666666666,0.0,0.45555555555555566
120,0.2,realistic,4,pure_straight,7,0.7142857142857143,0.5714285714285714,0.5714285714285714
120,0.2,realistic,4,random,7,0.2857142857142857,0.42857142857142855,0.5142857142857143
