"nFactors","items_per_factor","total_items","n_respondents","pct_careless","corProp","z_threshold","is_auto_z","auto_z_value","rep_id","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
30,10,300,300,0.05,0.05,1.3,TRUE,1.25333805539459,1,0.315620810885319,0.176470588235294,0.996491228070175,3,568,2,14,6.82236873469379,2.49851607838453
30,10,300,300,0.05,0.1,1.3,TRUE,1.25333805539459,1,0.338571214918876,0.117647058823529,1,2,570,0,15,6.66597635164571,3.30741630349578
8,3,24,500,0.05,0.03,0.9,TRUE,0.890196788843219,1,0.0511079163445882,0.896551724137931,0.229473684210526,26,218,732,3,0.133807116476923,-0.21045005193205
8,3,24,500,0.05,0.05,0.9,TRUE,0.890196788843219,1,0.0469171602745036,0.896551724137931,0.216842105263158,26,206,744,3,0.129050351780592,-0.184348528510879
8,3,24,500,0.05,0.1,0.9,TRUE,0.890196788843219,1,0.0453754793187357,0.931034482758621,0.168421052631579,27,160,790,2,-0.0839239673214799,-0.423592382565884
20,3,60,500,0.05,0.03,0.7,TRUE,0.687615839338061,1,0.173075493574602,0.862068965517241,0.633684210526316,25,602,348,4,1.35113358493535,-0.332164775927447
20,3,60,500,0.05,0.05,0.7,TRUE,0.687615839338061,1,0.156565268325897,0.862068965517241,0.593684210526316,25,564,386,4,1.23476150311907,-0.0904245089617737
20,3,60,500,0.05,0.1,0.7,TRUE,0.687615839338061,1,0.150797352545361,0.931034482758621,0.513684210526316,27,488,462,2,0.966127768862716,-0.508965116473625
30,3,90,500,0.05,0.03,1.3,TRUE,1.25333805539459,1,0.150022373164689,0.866666666666667,0.566315789473684,26,538,412,4,1.66648369894478,0.189418851193967
30,3,90,500,0.05,0.05,1.3,TRUE,1.25333805539459,1,0.135361619233786,0.833333333333333,0.557894736842105,25,530,420,5,1.56727391785802,0.381725545871768
30,3,90,500,0.05,0.1,1.3,TRUE,1.25333805539459,1,0.121754277965342,0.833333333333333,0.52,25,494,456,5,1.51778720845209,0.456248105871633
8,6,48,500,0.05,0.03,0.9,TRUE,0.890196788843219,1,0.0999838156581811,0.774193548387097,0.511578947368421,24,486,464,7,1.18593014361883,-0.127131008754791
8,6,48,500,0.05,0.05,0.9,TRUE,0.890196788843219,1,0.160517512233338,0.967741935483871,0.490526315789474,30,466,484,1,1.19994140127534,-0.274288825523918
8,6,48,500,0.05,0.1,0.9,TRUE,0.890196788843219,1,0.100514364308965,0.838709677419355,0.446315789473684,26,424,526,5,1.14301658132593,-0.101040327843206
20,6,120,500,0.05,0.03,0.7,TRUE,0.687615839338061,1,0.199094115610932,0.607142857142857,0.842105263157895,17,800,150,11,3.12742988287108,0.680677748394751
20,6,120,500,0.05,0.05,0.7,TRUE,0.687615839338061,1,0.218358001002737,0.642857142857143,0.846315789473684,18,804,146,10,2.92154397534225,0.659621810337352
20,6,120,500,0.05,0.1,0.7,TRUE,0.687615839338061,1,0.205051779200809,0.642857142857143,0.831578947368421,18,790,160,10,2.60822232715026,0.679619687392082
30,6,180,500,0.05,0.03,1.3,TRUE,1.25333805539459,1,0.469089993572041,0.7,0.957894736842105,21,910,40,9,5.0612804109298,0.707209230556521
30,6,180,500,0.05,0.05,1.3,TRUE,1.25333805539459,1,0.327895521519758,0.466666666666667,0.96,14,912,38,16,4.62064878695818,1.55993054902445
30,6,180,500,0.05,0.1,1.3,TRUE,1.25333805539459,1,0.141328620668963,0.266666666666667,0.938947368421053,8,892,58,22,4.05803878570947,1.95669094767682
8,10,80,500,0.05,0.03,0.9,TRUE,0.890196788843219,1,0.183883337828457,0.793103448275862,0.707368421052632,23,672,278,6,2.41572723147871,0.29416731299503
8,10,80,500,0.05,0.05,0.9,TRUE,0.890196788843219,1,0.144194575283601,0.689655172413793,0.703157894736842,20,668,282,9,2.46584798348904,0.336518956250473
