"nFactors","items_per_factor","total_items","n_respondents","pct_careless","corProp","z_threshold","is_auto_z","auto_z_value","rep_id","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
4,3,12,300,0.1,0.05,1.9,FALSE,1.02102727220309,8,0.0407521222584131,1,0.0259259259259259,36,14,526,0,-0.243111770854328,-0.0263039190991882
4,3,12,300,0.1,0.05,0.3,FALSE,1.02102727220309,9,0.126402998509687,0.885714285714286,0.366666666666667,31,198,342,4,-0.0306426642880379,-0.329955556017347
4,3,12,300,0.1,0.05,0.9,FALSE,1.02102727220309,10,0.0842772610951094,0.861111111111111,0.296296296296296,31,160,380,5,0.322684111523949,0.00940701185037661
4,3,12,300,0.1,0.1,0.5,FALSE,1.02102727220309,1,0.117040587045244,0.972222222222222,0.225925925925926,35,122,418,1,-0.232157437923505,-0.522047987901303
4,3,12,300,0.1,0.1,2.3,FALSE,1.02102727220309,2,0.0430716222803637,1,0.0296296296296296,35,16,524,0,-0.0689309108489179,-0.0536347811430188
4,3,12,300,0.1,0.1,2.7,FALSE,1.02102727220309,3,0.0500938464426763,1,0.0407407407407407,34,22,518,0,0.233774647218234,0.215913465324096
4,3,12,300,0.1,0.1,1.5,FALSE,1.02102727220309,4,0.0507792073095238,1,0.0407407407407407,35,22,518,0,-0.267954735602104,-0.142396547170619
4,3,12,300,0.1,0.1,0.1,FALSE,1.02102727220309,5,0.140662735129104,0.794117647058823,0.503703703703704,27,272,268,7,0.272755307904224,-0.270891223777251
4,3,12,300,0.1,0.1,0.5,FALSE,1.02102727220309,6,0.128051408116301,0.888888888888889,0.362962962962963,32,196,344,4,0.322384836264841,-0.212737556722305
4,3,12,300,0.1,0.1,0.9,FALSE,1.02102727220309,7,0.100761956381492,0.914285714285714,0.27037037037037,32,146,394,3,0.233824533189827,-0.145537841854089
4,3,12,300,0.1,0.1,1.7,FALSE,1.02102727220309,8,0.0436435780471985,1,0.0296296296296296,36,16,524,0,-0.24615387648017,-0.0456049170131134
4,3,12,300,0.1,0.1,0.1,FALSE,1.02102727220309,9,0.0852788141801829,0.742857142857143,0.433333333333333,26,234,306,9,-0.0355557416725498,-0.300756088789186
4,3,12,300,0.1,0.1,0.7,FALSE,1.02102727220309,10,0.0752201878011552,0.805555555555556,0.340740740740741,29,184,356,7,0.316738706272401,-0.0273128957997106
4,3,12,300,0.25,0.03,1.5,FALSE,1.02102727220309,1,0.083301722761613,0.988636363636364,0.0622222222222222,87,28,422,1,-0.211871777896893,-0.352841006429752
4,3,12,300,0.25,0.03,2.1,FALSE,1.02102727220309,2,0.0722825480422786,1,0.0311111111111111,88,14,436,0,-0.117196557734329,-0.242654285983361
4,3,12,300,0.25,0.03,0.3,FALSE,1.02102727220309,3,0.0457080144868635,0.681818181818182,0.377777777777778,60,170,280,28,-0.027138788594272,0.0319697628211773
4,3,12,300,0.25,0.03,1.3,FALSE,1.02102727220309,4,0.0723192312171645,0.954545454545455,0.102222222222222,84,46,404,4,-0.0713876627996546,-0.0902132890016171
4,3,12,300,0.25,0.03,2.5,FALSE,1.02102727220309,5,0.0368615593643915,0.988636363636364,0.0266666666666667,87,12,438,1,-0.0461354283534979,0.112300876877121
4,3,12,300,0.25,0.03,0.1,FALSE,1.02102727220309,6,0.0805614919020119,0.693181818181818,0.413333333333333,61,186,264,27,-0.0108528496534349,-0.181034570257265
4,3,12,300,0.25,0.03,1.3,FALSE,1.02102727220309,7,0.0478333750342461,0.943181818181818,0.0933333333333333,83,42,408,5,-0.223613404194613,-0.0768268563363512
4,3,12,300,0.25,0.03,2.1,FALSE,1.02102727220309,8,0.0608580619450185,1,0.0222222222222222,88,10,440,0,-0.2381422099003,-0.206276853778199
4,3,12,300,0.25,0.03,1.9,FALSE,1.02102727220309,9,0.169262781829275,0.988636363636364,0.173333333333333,87,78,372,1,0.478273113878111,-0.195177484774264
4,3,12,300,0.25,0.03,0.7,FALSE,1.02102727220309,10,0.0679406212823686,0.840909090909091,0.235555555555556,74,106,344,14,-0.0324326848711707,0.0253454729049028
4,3,12,300,0.25,0.05,1.5,FALSE,1.02102727220309,1,0.0631784233669539,0.988636363636364,0.0444444444444444,87,20,430,1,-0.225129701131481,-0.360127917631854
4,3,12,300,0.25,0.05,2.1,FALSE,1.02102727220309,2,0.0543303043489533,1,0.0177777777777778,88,8,442,0,-0.116085825374255,-0.209202054580824
4,3,12,300,0.25,0.05,0.5,FALSE,1.02102727220309,3,0.0167976522126592,0.727272727272727,0.293333333333333,64,132,318,24,-0.0337054210141717,0.0391966998078861
4,3,12,300,0.25,0.05,1.7,FALSE,1.02102727220309,4,0.083301722761613,0.988636363636364,0.0622222222222222,87,28,422,1,-0.0599091765479543,-0.0946806723926281
