;Careless;HE01_01_r;HE01_09_r;HE01_10_r;HE01_12_r;HE01_14_r;HE01_15_r;HE01_19_r;HE01_20_r;HE01_21_r;HE01_24_r;HE01_26_r;HE01_28_r;HE01_30_r;HE01_31_r;HE01_32_r;HE01_35_r;HE01_41_r;HE01_42_r;HE01_44_r;HE01_46_r;HE01_48_r;HE01_49_r;HE01_52_r;HE01_53_r;HE01_55_r;HE01_56_r;HE01_57_r;HE01_59_r;HE01_60_r;HE01_02;HE01_03;HE01_04;HE01_05;HE01_06;HE01_07;HE01_08;HE01_11;HE01_13;HE01_16;HE01_17;HE01_18;HE01_22;HE01_23;HE01_25;HE01_27;HE01_29;HE01_33;HE01_34;HE01_36;HE01_37;HE01_38;HE01_39;HE01_40;HE01_43;HE01_45;HE01_47;HE01_50;HE01_51;HE01_54;HE01_58
29;1;2;4;4;3;4;4;4;2;4;3;4;4;3;4;4;4;3;4;4;4;4;2;3;4;2;3;4;5;3;4;3;4;2;4;3;4;4;2;4;4;3;4;4;2;3;4;4;4;3;4;4;2;2;4;3;4;4;4;4;2
30;0;3;3;5;5;5;3;3;5;5;3;5;1;5;5;5;3;2;5;5;3;5;3;4;2;5;3;3;3;1;5;3;3;1;1;4;4;3;3;3;1;3;4;3;5;3;3;3;4;5;4;4;2;1;3;3;3;1;2;4;2
31;1;3;4;1;2;4;1;3;2;5;5;5;3;4;2;4;5;4;1;4;1;5;5;2;5;3;2;4;3;2;5;2;2;5;3;2;4;5;1;2;1;1;1;2;2;1;5;2;2;1;2;3;3;1;4;1;4;4;2;4;1
32;0;5;4;3;5;4;5;3;4;5;3;2;3;4;5;4;5;2;2;4;3;2;2;3;3;5;4;4;4;4;4;2;4;2;2;5;3;4;5;4;4;2;4;4;4;4;2;4;2;5;4;4;2;2;4;3;4;2;4;4;3
33;1;1;2;2;2;3;2;3;4;3;2;3;3;2;2;2;5;4;2;4;2;3;3;2;4;2;3;2;4;2;2;1;1;3;2;2;3;4;3;2;4;2;2;3;4;2;2;2;4;2;4;4;2;2;3;2;5;4;2;2;2
34;0;5;4;5;5;5;4;3;3;5;4;5;3;4;4;5;5;2;5;5;2;5;4;4;3;4;3;5;4;5;5;1;3;3;3;4;3;5;2;2;3;3;2;3;5;2;4;3;4;5;4;5;3;1;3;3;5;5;3;5;1
35;0;4;5;2;3;4;5;4;2;5;3;4;4;3;2;4;4;3;2;5;3;4;3;5;1;5;4;4;5;3;4;2;4;1;4;3;4;4;3;5;2;4;4;4;4;2;2;4;4;4;4;4;3;4;4;4;4;2;3;4;3
36;0;2;1;4;4;4;2;3;5;4;4;5;2;2;3;4;5;4;4;5;2;5;1;3;4;2;4;3;5;4;5;2;3;3;2;4;5;5;2;4;5;3;2;4;1;3;4;2;3;4;5;5;2;2;3;3;4;5;2;2;2
37;0;5;4;5;5;4;4;3;2;5;5;5;5;4;5;4;3;4;3;4;3;5;4;4;2;4;2;2;5;5;2;4;4;1;5;4;2;4;1;5;3;2;4;3;2;2;3;4;3;5;4;4;3;3;4;4;5;1;2;5;2
38;1;4;2;3;1;4;2;2;3;5;4;3;4;5;4;3;2;2;5;4;3;5;4;5;1;4;2;5;3;3;4;3;4;2;3;4;4;2;5;3;1;4;4;3;4;2;1;2;3;5;4;4;1;3;5;4;3;3;3;5;3
39;1;2;2;2;5;3;4;3;2;5;4;2;2;2;2;4;4;4;5;2;4;4;2;2;5;3;3;4;4;4;3;1;2;3;4;2;3;5;4;5;4;2;4;3;1;3;2;3;4;4;3;3;4;4;4;2;4;1;3;5;2
40;0;5;4;4;5;4;5;5;4;4;5;5;5;5;5;3;4;2;3;4;5;5;4;4;2;3;4;2;5;5;4;2;5;4;4;4;3;1;3;5;2;2;5;5;5;2;4;2;5;5;1;2;1;4;5;2;2;3;1;5;4
41;0;2;4;3;4;2;4;2;3;5;5;5;4;3;4;2;2;3;4;4;2;5;4;5;4;4;4;3;4;4;5;4;5;3;3;3;2;2;5;1;3;4;5;3;5;4;3;4;3;3;3;3;2;2;3;3;3;2;3;3;3
42;1;3;4;5;2;5;2;4;4;4;4;4;3;4;4;4;2;2;2;4;4;2;4;4;3;4;3;4;3;2;2;2;4;4;3;4;4;3;3;3;3;2;4;2;3;2;2;4;3;4;5;4;4;3;4;4;2;5;2;4;4
43;0;5;1;4;2;4;2;3;2;5;4;4;3;2;2;2;2;2;2;4;1;4;4;3;1;3;4;3;3;2;3;2;4;1;2;4;4;4;5;4;3;2;3;4;5;2;4;3;3;4;4;2;4;3;3;3;4;4;4;3;3
44;1;4;2;4;5;3;2;3;2;3;3;4;3;3;4;4;3;4;4;4;4;3;4;2;3;3;3;2;4;5;3;2;4;3;3;3;4;4;4;4;4;3;3;4;4;3;3;4;4;4;4;4;3;3;3;3;4;5;3;4;4
45;0;5;2;2;5;4;3;1;3;5;5;2;4;5;2;3;4;4;5;4;3;5;3;3;4;5;4;2;4;5;5;2;3;2;4;5;3;4;4;4;4;5;3;4;5;3;4;2;4;5;4;4;2;3;4;3;3;2;2;4;1
46;1;2;4;1;4;4;5;5;4;5;4;3;3;3;3;5;5;5;5;2;1;4;4;2;5;5;3;4;5;5;4;5;2;4;4;3;3;5;5;3;3;1;3;5;2;3;5;3;1;5;2;3;3;2;5;4;5;4;4;4;1
47;0;5;3;4;3;4;3;3;4;5;5;4;3;5;3;4;4;2;3;4;2;4;5;5;1;5;4;4;4;2;3;3;5;1;4;5;5;1;4;4;2;3;3;3;3;3;4;3;5;2;5;4;1;3;5;5;2;3;3;4;3
48;1;3;4;4;5;3;4;1;4;5;5;4;4;5;2;5;4;2;3;4;3;5;5;5;3;5;4;5;4;5;4;4;4;5;5;5;3;2;5;3;2;4;4;3;3;4;3;4;4;1;5;4;4;3;5;4;3;4;4;1;3
49;1;5;1;5;1;4;2;4;4;4;4;5;4;4;5;3;3;2;4;2;2;5;1;4;3;4;5;3;4;1;5;2;4;3;4;3;2;4;5;5;4;4;5;1;2;2;3;2;2;2;2;2;2;3;5;3;4;2;2;5;2
50;0;4;1;4;4;5;3;4;4;5;4;5;3;4;4;5;5;4;4;5;2;3;2;2;5;4;4;5;5;5;5;3;2;4;4;4;4;5;5;4;4;3;2;4;2;2;5;2;1;2;4;4;1;2;4;5;4;3;3;5;2
51;1;4;5;3;2;3;5;2;4;5;5;3;4;4;2;3;4;1;4;4;2;3;2;5;1;3;3;4;3;2;4;3;4;1;1;4;4;4;5;3;4;3;4;1;4;2;2;3;2;5;3;3;3;2;4;4;3;1;4;2;2
52;1;3;4;3;3;4;3;1;3;5;4;4;4;4;3;4;4;1;3;4;3;4;4;4;2;3;4;4;5;5;5;2;3;2;3;2;4;4;5;3;4;3;5;4;5;2;4;3;4;3;3;3;3;5;3;4;4;4;2;4;4
53;0;4;2;4;2;3;2;5;4;4;4;4;4;4;2;4;4;4;4;4;3;3;2;2;4;4;4;4;4;2;5;2;2;4;3;4;4;4;3;5;4;3;2;3;3;2;4;4;3;4;2;3;2;2;4;3;4;4;2;2;3
54;1;2;2;4;2;2;3;2;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;2;2;2;2;1;4;2;2;5;2;4;4;4;4;5;3;4;1;4;5;5;5;4;2;5;5;5;5;3;2;2;2;2;1;2;4
55;0;3;3;1;3;4;3;4;3;2;4;3;2;4;5;2;5;1;3;3;2;4;2;1;4;3;2;4;1;3;2;1;1;3;4;5;3;5;5;1;1;3;1;2;3;2;1;3;1;3;3;3;4;1;4;3;1;3;2;5;1
56;0;4;5;2;5;4;5;3;4;5;5;4;4;5;5;5;4;3;5;4;1;5;4;2;3;3;5;5;3;5;5;2;4;3;4;4;5;4;2;3;4;2;4;4;4;4;5;4;4;5;5;4;4;2;4;4;4;4;4;5;2
57;1;1;2;2;5;4;3;4;2;4;3;4;3;4;2;4;4;2;2;2;2;3;4;2;5;3;3;2;4;5;4;1;3;2;4;3;4;5;3;2;3;2;4;4;2;1;2;2;4;4;5;5;3;3;4;3;4;5;2;2;3
58;1;4;2;5;4;3;1;4;4;3;4;2;2;4;4;3;4;3;2;2;2;3;3;2;2;5;3;2;4;3;3;2;3;1;2;5;3;5;5;3;4;2;3;4;5;2;2;2;4;5;4;3;2;3;3;2;5;3;2;4;5
59;0;2;4;2;5;4;4;3;4;5;5;2;1;3;3;2;4;4;2;2;3;4;2;1;4;2;4;4;3;5;3;4;1;3;3;2;3;5;3;2;4;3;3;4;4;3;2;4;1;4;2;4;2;2;3;3;4;4;4;3;2
60;1;5;2;5;2;4;3;4;3;5;4;5;5;4;4;4;4;3;5;4;3;5;2;4;3;3;3;3;5;2;3;3;4;4;3;4;4;4;3;3;3;2;4;4;4;2;2;3;3;4;3;4;3;3;4;3;3;2;3;5;2
61;0;3;4;4;5;3;5;2;2;5;4;5;4;2;2;4;4;2;4;5;4;3;4;4;4;4;2;4;3;2;5;2;4;2;5;3;4;4;4;5;2;3;4;4;3;3;3;4;4;5;4;4;4;3;4;4;4;2;4;4;2
62;1;5;4;4;2;4;2;4;2;2;4;2;4;2;5;2;4;3;2;2;2;4;2;3;4;5;3;4;2;5;3;3;4;5;4;4;2;4;5;2;4;2;2;1;5;1;5;4;2;2;2;1;4;2;4;2;2;2;2;2;2
63;0;4;2;2;1;3;4;2;1;4;4;5;3;3;4;2;4;2;1;4;2;3;4;4;3;2;2;2;3;1;4;1;4;3;2;2;4;4;4;3;4;2;3;4;4;2;5;4;4;2;4;4;4;2;4;2;5;2;3;2;2
64;0;3;4;4;2;4;3;2;2;4;4;4;3;4;2;2;3;2;4;4;3;4;4;5;4;4;2;4;4;5;4;2;4;2;4;4;3;4;2;5;3;3;4;4;2;2;4;4;4;4;4;3;3;2;3;3;5;4;4;4;4
65;0;1;3;1;2;4;4;1;4;3;4;4;1;4;2;2;2;1;5;5;3;5;2;2;5;1;5;4;1;5;2;3;1;1;5;2;3;3;3;3;1;4;2;4;1;1;2;2;1;2;4;4;2;1;3;3;1;2;3;1;1
66;1;5;3;5;4;1;3;3;2;3;4;4;5;2;4;5;4;3;4;5;5;3;1;5;3;4;2;4;4;2;4;3;4;4;3;5;5;3;5;2;4;3;4;3;3;3;3;3;3;5;4;5;3;5;3;3;4;5;3;3;3
67;0;2;4;4;4;4;4;4;4;4;5;3;3;2;2;4;3;4;3;4;4;4;4;4;4;2;4;4;4;5;4;1;4;4;2;4;4;4;1;4;4;3;4;4;1;2;4;4;4;5;4;4;4;3;4;4;4;2;2;2;3
68;1;3;4;5;5;2;2;2;4;4;4;4;4;5;2;4;2;2;3;4;4;5;2;3;3;2;2;5;4;5;4;2;3;4;5;4;4;5;2;2;2;2;3;3;3;3;4;4;4;5;4;3;2;2;3;2;4;2;2;4;3
69;0;3;2;4;4;5;2;5;4;4;4;5;4;3;5;4;2;2;4;5;4;5;3;5;2;5;3;4;4;2;5;4;5;2;2;4;5;5;1;5;3;4;5;4;3;3;3;4;4;5;5;4;2;1;3;5;4;4;4;3;4
70;0;3;3;1;1;3;2;3;1;3;2;2;2;1;1;1;2;1;1;1;2;1;1;1;3;1;1;1;3;1;4;5;3;4;4;5;4;4;2;4;5;1;3;2;2;5;5;4;3;2;4;4;5;4;4;3;5;3;5;5;3
71;0;4;1;3;1;5;3;4;4;4;4;4;4;2;3;4;4;2;2;5;3;3;3;4;2;2;4;1;5;4;5;1;4;2;3;5;5;5;4;5;4;3;4;5;5;3;4;5;5;2;5;5;4;3;5;3;5;5;2;3;3
72;1;5;3;2;5;2;2;2;3;5;5;2;5;2;4;2;3;1;5;4;3;2;4;5;4;5;1;2;5;4;2;2;5;1;1;5;5;4;5;5;4;2;5;4;4;2;4;4;2;2;3;2;4;4;4;3;4;1;3;2;2
73;1;1;1;1;1;1;5;5;5;5;1;1;1;1;1;1;1;5;1;1;5;5;5;1;5;1;1;5;5;1;1;5;1;5;1;5;1;4;5;1;1;1;4;5;5;5;1;5;1;1;1;1;5;1;5;1;5;1;5;1;1
74;0;2;4;4;2;2;1;2;4;2;5;4;4;2;4;4;4;4;2;4;4;3;3;4;4;3;3;3;4;4;3;1;4;3;3;3;4;5;4;4;3;2;5;4;2;2;2;4;2;4;4;4;3;2;4;2;5;3;3;4;2
75;0;3;3;4;5;5;2;4;4;5;5;4;3;3;2;3;5;5;4;4;3;5;5;3;4;2;3;4;4;5;4;1;4;4;3;2;4;1;5;2;5;4;4;5;5;2;4;4;3;1;3;4;2;3;4;3;4;3;3;4;3
76;1;4;4;5;2;4;2;5;3;4;3;2;4;5;2;2;5;3;3;3;4;2;5;4;3;5;3;4;5;2;3;1;3;4;3;4;2;4;5;5;4;3;5;5;2;2;2;4;4;4;3;4;2;4;5;2;4;3;2;4;4
77;0;5;4;2;4;4;4;4;4;4;4;4;2;2;3;4;5;5;2;4;1;5;2;3;4;5;4;3;2;5;4;1;3;5;3;4;3;4;5;2;5;2;2;3;4;2;4;4;2;2;3;3;1;2;4;4;5;4;2;4;1
78;1;4;5;5;2;5;5;5;4;5;2;5;4;4;2;5;4;5;3;4;4;4;2;3;4;3;4;5;5;2;4;2;4;2;4;3;4;5;4;5;5;3;4;4;2;1;4;4;3;3;4;5;3;5;4;4;5;4;2;2;4
79;1;4;4;3;1;4;2;2;3;3;4;2;3;2;3;2;4;1;2;4;4;4;3;4;3;4;4;4;4;2;3;1;3;2;1;4;3;3;4;4;3;2;3;3;3;2;3;4;3;2;4;3;2;3;4;3;5;2;3;2;4
80;0;2;5;5;3;3;2;2;5;4;5;5;5;5;4;5;3;2;4;3;3;5;4;5;2;5;3;2;3;4;2;5;5;1;4;4;4;2;4;1;1;5;3;2;1;4;1;3;4;4;4;3;2;4;5;3;2;1;3;5;4
81;0;2;2;5;4;5;1;4;4;2;5;4;4;3;3;3;4;2;2;4;4;4;4;2;4;3;4;4;4;3;3;3;4;3;2;3;5;5;5;4;4;2;3;4;1;4;2;4;4;5;4;5;2;3;4;3;4;5;2;4;4
82;0;4;4;4;3;4;2;4;4;4;4;3;3;2;4;4;4;3;4;4;4;3;4;3;3;4;2;3;4;3;4;3;3;2;1;4;3;4;4;3;3;2;3;4;3;3;3;3;3;3;4;4;4;2;5;3;2;3;3;2;2
83;1;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;2;4;3;4;2;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
84;0;5;2;3;3;2;4;4;5;5;4;3;4;4;5;4;3;2;4;5;2;3;5;5;2;5;4;5;2;4;3;4;3;1;2;5;4;2;5;1;3;3;3;1;5;2;1;2;1;3;5;4;2;2;5;4;2;5;2;3;2
85;1;3;2;3;3;4;2;2;2;4;5;4;3;4;4;3;4;2;3;3;2;3;3;3;3;3;3;3;3;3;5;3;4;3;4;4;5;4;3;4;3;4;4;4;3;4;2;2;4;4;4;4;4;3;3;5;3;3;3;4;3
86;0;2;2;4;4;2;4;4;5;5;5;2;2;2;1;4;5;2;5;3;4;5;1;2;4;2;4;3;5;4;2;2;4;4;2;4;3;5;2;5;5;2;5;5;4;4;5;4;5;5;2;4;4;4;4;4;4;2;2;2;2
87;1;3;4;4;2;4;4;3;3;4;3;3;3;3;4;3;3;3;3;3;3;3;3;2;4;3;3;2;2;3;4;3;3;2;3;1;2;3;2;2;3;3;3;3;4;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;3
88;0;5;3;4;3;5;3;4;5;4;3;5;3;4;4;4;3;2;3;1;3;4;3;5;3;3;4;4;3;4;4;5;4;1;3;4;4;3;3;3;1;3;3;3;3;3;3;4;3;4;3;4;2;3;3;3;4;3;3;4;3
89;0;2;5;4;4;4;4;5;4;5;4;4;5;5;4;4;4;3;3;4;4;4;1;4;3;4;3;4;5;4;5;4;4;2;4;2;3;2;5;4;4;3;4;3;2;3;3;4;4;4;4;4;2;4;4;4;4;2;3;4;3
90;1;2;4;2;5;2;4;5;3;4;4;2;2;5;5;2;4;2;5;5;2;4;2;5;4;5;5;3;4;5;4;4;5;3;4;4;2;4;1;2;4;4;4;2;1;2;3;4;2;4;2;4;4;1;4;3;4;3;4;4;1
91;1;2;3;4;3;4;2;2;3;5;2;3;3;4;4;4;2;3;3;4;3;3;4;2;3;2;2;4;2;3;2;4;4;4;4;2;2;4;4;3;3;2;4;4;2;2;3;3;3;2;4;2;4;3;2;2;2;4;5;4;4
92;0;3;5;2;4;5;4;5;2;5;3;4;3;5;3;3;2;2;4;5;3;2;3;2;3;1;4;2;3;5;3;4;4;3;2;3;3;1;4;4;3;2;5;4;4;4;2;4;4;4;2;4;2;3;3;2;3;2;5;4;2
93;0;5;4;3;4;2;3;4;2;5;5;3;5;4;5;4;5;2;2;4;4;5;4;5;2;5;4;4;5;5;5;3;5;2;2;5;3;3;5;5;5;2;5;3;5;3;2;4;4;2;5;2;2;2;4;2;4;2;2;4;3
94;0;5;3;4;2;4;3;3;2;4;5;2;3;3;2;3;4;4;5;3;4;4;5;4;4;3;2;4;4;2;2;3;3;1;3;3;3;4;4;3;5;2;4;4;4;3;2;2;4;3;5;4;4;3;4;3;4;2;2;4;3
95;1;4;4;4;4;5;2;3;4;4;4;2;4;2;2;4;5;3;4;5;4;4;5;4;5;3;4;2;5;4;4;2;4;4;2;3;4;5;4;3;4;2;4;2;4;2;5;3;2;4;3;3;2;4;4;2;5;5;4;2;2
96;0;4;4;4;3;4;4;3;4;5;5;3;3;4;2;3;4;3;3;3;2;4;4;5;4;4;3;5;5;3;3;2;4;5;2;4;3;4;4;4;4;2;4;5;4;3;4;4;3;3;4;2;3;3;4;2;4;2;4;3;3
97;1;1;4;2;5;2;2;3;1;5;4;5;2;3;2;4;4;2;2;2;3;4;2;1;2;1;2;5;4;4;3;2;3;2;3;1;3;2;3;2;3;2;5;4;1;2;4;3;1;2;5;3;5;4;3;4;5;3;3;4;3
98;0;5;3;4;5;2;2;3;2;3;4;2;3;5;5;2;5;3;3;3;5;5;5;5;5;4;2;2;5;5;4;2;5;4;5;5;3;4;3;4;3;2;4;3;5;4;4;4;4;5;4;4;1;2;3;1;4;3;4;1;4
99;1;4;4;2;2;4;2;2;4;5;4;4;3;4;4;4;4;4;4;4;2;4;2;5;3;4;4;4;5;2;4;2;4;2;4;1;5;2;5;3;2;3;4;5;5;2;5;4;4;2;4;4;2;4;3;5;4;3;4;4;2
100;0;4;2;2;4;4;1;1;3;4;3;4;3;4;5;4;4;4;3;3;4;4;4;4;4;5;4;2;5;5;5;2;4;2;2;4;5;4;4;4;4;2;4;5;2;2;4;5;4;5;4;4;2;3;4;2;2;5;2;4;2
101;1;2;2;4;2;4;4;4;4;4;4;2;3;4;3;2;4;4;5;4;3;3;2;4;3;4;4;4;4;2;4;2;2;3;2;4;4;4;4;3;4;3;3;4;3;2;4;2;3;2;2;4;2;2;4;3;4;5;2;4;3
102;0;3;2;3;5;3;4;2;3;4;5;5;4;4;4;2;4;4;2;4;3;4;1;4;5;3;3;4;4;5;2;2;3;2;1;3;3;4;1;4;4;3;4;4;2;3;5;4;2;5;3;4;4;3;2;4;5;4;3;5;2
103;1;1;5;3;2;4;5;4;3;4;4;4;3;2;2;3;4;2;3;4;2;4;5;4;3;4;3;4;4;5;3;4;4;2;4;3;4;5;1;4;2;4;4;2;1;3;4;4;2;2;2;4;3;3;4;4;2;3;4;4;2
104;0;3;3;2;2;4;2;5;5;5;4;4;5;4;4;4;4;2;4;4;3;5;5;5;4;5;2;4;5;5;3;1;4;2;2;4;4;4;4;4;3;4;5;5;2;1;3;4;3;5;4;4;4;3;4;4;5;3;2;4;3
105;0;3;4;4;2;5;4;4;4;3;5;4;4;3;4;4;5;4;4;4;4;5;4;2;5;4;3;4;5;4;4;1;2;3;3;4;5;5;5;3;3;4;3;4;2;3;4;4;2;3;3;5;4;4;3;3;4;4;4;4;4
106;1;4;3;4;1;2;1;4;4;3;2;4;3;5;3;2;4;1;5;4;4;3;3;5;2;2;3;3;5;1;2;3;4;3;4;5;3;4;4;4;2;4;4;4;1;2;2;2;2;2;5;2;1;3;4;4;3;1;1;5;2
