"";"Careless";"time_p1";"time_p2";"time_p3";"time_p4";"time_p5";"time_p6"
"150";"1";64075,56;55474,44;55595;47476,25;49760;77602,22
"151";"1";46637,14;34708,89;28405,56;26870;15230;14151,43
"152";"0";46840;50601,11;53005,56;49204;36745,56;48330
"153";"1";24402,86;37865,56;25405;40695,56;26448,33;35514
"154";"1";30785,56;27663,33;29133;20584;8269;14441,11
"155";"0";21214;48056,56;33501;13913,33;42708,39;34682,86
"156";"0";43001;36576;33690;34771,25;36982;41107
"157";"0";49793,33;57572;54198,6;47213,71;50710;54688,75
"158";"1";53454;46132;51799;44826;36591;44150
"159";"0";65995;61303;50044;63548,75;56793;81622,5
"160";"1";60947,78;56763,33;43531,25;46008,75;52827,5;55975,71
"161";"0";29888;42935,56;26114,44;40427,5;31659;47114,44
"162";"1";67731;57390,65;58794,44;61641,33;43693,33;45130
"163";"0";55380;43548;34982,22;45961;31026;45635,56
"164";"0";45701;57848;27914,29;46310;44160;50286
"165";"0";52538,12;60214,3;40556,25;40036,25;29206,67;29832
"166";"1";61329,25;31110;27433,33;28145;25450;28544
"167";"0";46475;43670;35681;41808;40922;42342
"168";"1";19563;17719;20628,89;14566;19476;14197
"169";"0";88140,71;91465,31;60772,5;64182,69;44631,11;61402,5
"170";"0";88075;78517;78568,61;71300,89;67209;78773,75
"171";"1";70914,44;72509;61992,28;57147,78;51322;75082,5
"172";"1";70785,89;63853,33;51576,25;55075,56;67423,56;78447,78
"173";"0";50080;43308,75;40285,71;37222,5;41232;46708,89
"174";"1";33460;43950;32130;44371,92;27250;37491
"175";"1";21841;13612,22;12408,75;20892,22;18260;17055,56
"176";"0";57377;83685,28;53934,44;53043,33;53036,45;50131,25
"177";"1";70859,4;83568,95;57257,75;53147,78;49563,75;65008
"178";"0";90983;61102,5;45542,86;63020,17;81980,25;75666,22
"179";"1";32769,6;16537,78;12711;7713;11183;13497,78
"180";"0";57895,56;78920;40851,11;55103;51147,14;64901,57
"181";"1";15163;10497;11979;10187;11251,11;10342
"182";"0";82328,6;61784;62226;61995,06;52921,44;88250,78
