"";"CASE";"IN01_CP";"IN01";"IN02";"IN05";"IN05_01";"IN06";"IN06_01";"IN06_02";"IN06_03";"IN06_04";"IN08";"IN08_01";"IN08_02";"IN08_03";"IN08_04";"sex";"age";"SO04";"SO06";"HE01_01";"HE01_02";"HE01_03";"HE01_04";"HE01_05";"HE01_06";"HE01_07";"HE01_08";"HE01_09";"HE01_10";"HE01_11";"HE01_12";"HE01_13";"HE01_14";"HE01_15";"HE01_16";"HE01_17";"HE01_18";"HE01_19";"HE01_20";"HE01_21";"HE01_22";"HE01_23";"HE01_24";"HE01_25";"HE01_26";"HE01_27";"HE01_28";"HE01_29";"HE01_30";"HE01_31";"HE01_32";"HE01_33";"HE01_34";"HE01_35";"HE01_36";"HE01_37";"HE01_38";"HE01_39";"HE01_40";"HE01_41";"HE01_42";"HE01_43";"HE01_44";"HE01_45";"HE01_46";"HE01_47";"HE01_48";"HE01_49";"HE01_50";"HE01_51";"HE01_52";"HE01_53";"HE01_54";"HE01_55";"HE01_56";"HE01_57";"HE01_58";"HE01_59";"HE01_60";"HE04_01";"HE04_02";"HE04_03";"HE04_04";"HE04_05";"HE04_06";"HE04_07";"HE04_08";"HE04_09";"HE04_10";"HE04_11";"HE04_12";"HE04_13";"HE04_14";"HE04_15";"HE04_16";"HE04_17";"HE04_18";"HE04_19";"HE04_20";"HE04_21";"HE04_22";"HE04_23";"HE04_24";"HE04_25";"HE04_26";"HE04_27";"HE04_28";"HE04_29";"HE04_30";"HE04_31";"HE04_32";"HE04_33";"HE04_34";"HE04_35";"HE04_36";"HE04_37";"HE04_38";"HE04_39";"HE04_40";"HE04_41";"HE04_42";"HE04_43";"HE04_44";"HE04_45";"HE04_46";"HE04_47";"HE04_48";"HE04_49";"HE04_50";"HE04_51";"HE04_52";"HE04_53";"HE04_54";"HE04_55";"HE04_56";"HE04_57";"HE04_58";"HE04_59";"HE04_60";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME012";"LASTPAGE"
"1399";"429";"126";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";51;"1";"3";"2";"4";"4";"3";"2";"3";"3";"3";"3";"3";"2";"3";"4";"4";"4";"3";"3";"4";"3";"3";"2";"4";"4";"4";"4";"3";"3";"3";"4";"4";"3";"4";"3";"4";"4";"4";"3";"4";"4";"4";"3";"2";"3";"3";"3";"2";"3";"3";"4";"4";"2";"3";"3";"2";"2";"3";"3";"3";"2";"2";"3993";"1500";"1933";"1410";"2430";"2577";"1571";"2269";"522";"637";"5016";"1192";"-6";"680";"4465";"1014";"816";"2892";"2564";"1370";"38307";"1149";"874";"449";"1785";"1616";"863";"1922";"735";"406";"12174";"1566";"1199";"710";"7630";"1335";"718";"2918";"386";"1217";"9296";"2295";"459";"19902";"1400";"2712";"866";"4959";"1024";"934";"6279";"1103";"927";"2118";"1894";"788";"2080";"760";"5594";"-6";"2";"4";"15";"11";"21";"27";"50";"35";"45";"26";"14";"6";"12"
"1402";"732";"220";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";70;"1";"4";"1";"3";"2";"3";"4";"5";"3";"4";"3";"2";"5";"1";"5";"1";"3";"1";"3";"3";"2";"3";"1";"3";"3";"3";"4";"3";"1";"4";"2";"1";"1";"1";"3";"2";"1";"3";"4";"4";"3";"2";"3";"4";"3";"4";"3";"5";"3";"3";"4";"2";"2";"3";"4";"3";"4";"3";"4";"5";"2";"4";"3539";"3513";"3847";"2016";"3817";"-6";"3888";"3472";"3081";"1215";"18380";"2831";"4328";"2784";"2816";"3520";"4168";"3592";"2760";"3184";"5158";"2264";"2152";"2616";"3328";"4776";"5200";"2592";"3376";"6001";"3378";"1345";"3503";"2976";"1792";"3448";"2384";"4784";"2992";"2176";"8426";"1008";"744";"1600";"1632";"3224";"2280";"2136";"1752";"3553";"27034";"1847";"3200";"1480";"4360";"1096";"1361";"3327";"-6";"1928";"3";"2";"8";"48";"34";"49";"38";"31";"28";"51";"31";"3";"12"
"1406";"547";"163";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";66;"1";"5";"4";"3";"4";"4";"4";"4";"2";"4";"2";"4";"4";"2";"3";"2";"2";"4";"3";"4";"3";"4";"1";"3";"4";"4";"3";"2";"3";"3";"4";"3";"2";"1";"3";"3";"3";"4";"3";"4";"3";"2";"3";"3";"3";"1";"3";"2";"5";"4";"4";"2";"4";"3";"2";"4";"4";"3";"2";"3";"3";"3";"7405";"6678";"9225";"3433";"8163";"6861";"12824";"6751";"7533";"4089";"10342";"8390";"8397";"8825";"5534";"11336";"8414";"4835";"7630";"6256";"7663";"4412";"5805";"5734";"8764";"7393";"9340";"4734";"5744";"7284";"10573";"-6";"6007";"6828";"5562";"7826";"5753";"5067";"8216";"6667";"7364";"20732";"8290";"5703";"5054";"-6";"-6";"5973";"13697";"11410";"7411";"7014";"5784";"8148";"5751";"7614";"8631";"7192";"6305";"8824";"8";"11";"15";"37";"75";"83";"68";"73";"103";"75";"21";"9";"12"
"1422";"371";"111";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";42;"1";"5";"3";"4";"2";"4";"1";"3";"4";"3";"2";"2";"4";"1";"3";"2";"2";"3";"4";"3";"5";"3";"1";"3";"1";"1";"4";"4";"2";"2";"2";"3";"2";"2";"4";"4";"3";"5";"4";"4";"3";"4";"4";"2";"5";"5";"3";"3";"1";"1";"3";"2";"3";"1";"4";"4";"2";"4";"3";"3";"2";"1";"8565";"6735";"5919";"5424";"7176";"9120";"5656";"5179";"5173";"6914";"9166";"8248";"6576";"6456";"6266";"22271";"9159";"6744";"5656";"6480";"3999";"4760";"10273";"6232";"9695";"9444";"13612";"6354";"7210";"9292";"8435";"7250";"6230";"6056";"7240";"6648";"6984";"7552";"11240";"7643";"6710";"-6";"5534";"5888";"8544";"4947";"9845";"5385";"6665";"4422";"7211";"4821";"7128";"9624";"3874";"9958";"7946";"9518";"6144";"8112";"8";"13";"12";"36";"67";"89";"82";"78";"67";"76";"43";"17";"12"
"1427";"73";"17";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";36;"1";"3";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"4";"3";"3";"2";"1";"2";"2";"2";"2";"1";"2";"1";"4";"4";"2";"2";"2";"3";"3";"3";"3";"3";"2";"2";"1";"4";"3";"2";"2";"2";"3";"3";"2";"3";"3";"3";"2";"3";"1";"2";"6746";"3279";"4540";"571";"1995";"1972";"625";"996";"953";"959";"2863";"572";"870";"848";"1716";"1595";"1190";"977";"1510";"975";"1714";"591";"843";"797";"821";"1418";"952";"1201";"928";"1558";"2092";"429";"1245";"847";"1723";"942";"894";"953";"850";"936";"1440";"532";"879";"812";"3694";"396";"1051";"1015";"1576";"887";"1447";"558";"902";"787";"834";"851";"794";"769";"2255";"1599";"2";"4";"7";"32";"24";"15";"12";"12";"14";"12";"17";"5";"12"
"1429";"580";"174";"3";"2";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";48;"1";"4";"1";"4";"3";"3";"2";"4";"4";"3";"4";"2";"2";"2";"5";"2";"2";"2";"3";"4";"4";"2";"1";"3";"2";"2";"4";"4";"4";"4";"2";"3";"1";"4";"4";"2";"4";"3";"3";"4";"4";"2";"4";"1";"5";"2";"3";"3";"2";"2";"5";"3";"4";"4";"4";"4";"2";"4";"3";"2";"2";"2";"12965";"8335";"7072";"5016";"-6";"7511";"7088";"10977";"6239";"11080";"10305";"8768";"7976";"6480";"4200";"10112";"9087";"4145";"8984";"3599";"4898";"2312";"4504";"6656";"7160";"5008";"5392";"8856";"5200";"9264";"-6";"5232";"3728";"-6";"2279";"7608";"7272";"4672";"5215";"5328";"9354";"8304";"2425";"6935";"3968";"8257";"6120";"4480";"3415";"6344";"5718";"4216";"5800";"6607";"4281";"7383";"4665";"6271";"10008";"-6";"22";"14";"13";"91";"90";"75";"61";"66";"61";"70";"36";"17";"12"
"1446";"512";"151";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";61;"1";"4";"5";"4";"2";"4";"1";"5";"5";"3";"3";"2";"3";"1";"1";"1";"4";"4";"3";"5";"2";"1";"1";"5";"1";"1";"1";"1";"2";"2";"1";"1";"4";"1";"3";"4";"2";"5";"2";"5";"4";"4";"5";"1";"5";"1";"4";"3";"4";"1";"5";"4";"3";"2";"5";"5";"1";"3";"2";"3";"2";"1";"4363";"4045";"6170";"2901";"3772";"4049";"3332";"7559";"4810";"-6";"26938";"5749";"13967";"5506";"2678";"-6";"6033";"3980";"8538";"4660";"4807";"4927";"3993";"-6";"3259";"3342";"-6";"-6";"4050";"7138";"6465";"-6";"4046";"3533";"4159";"3970";"-6";"2814";"11435";"4276";"-6";"4572";"3124";"4612";"-6";"6078";"-6";"3729";"7176";"3385";"9047";"3823";"-6";"8630";"3368";"14238";"5272";"4804";"3588";"5924";"67";"11";"7";"20";"47";"87";"56";"55";"56";"65";"18";"4";"12"
"1470";"59";"13";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";47;"1";"3";"2";"4";"3";"4";"3";"2";"4";"4";"4";"3";"4";"4";"4";"1";"4";"3";"4";"4";"1";"4";"1";"4";"3";"3";"4";"4";"4";"3";"3";"1";"3";"3";"4";"2";"3";"3";"4";"4";"3";"3";"2";"3";"5";"2";"3";"3";"4";"3";"1";"3";"4";"1";"3";"4";"2";"3";"4";"1";"2";"2";"5387";"4528";"3239";"2657";"3527";"10912";"2705";"1897";"2799";"2647";"7279";"7944";"4256";"4360";"2513";"7159";"3944";"2672";"5007";"3529";"3072";"2200";"4304";"2792";"4770";"2503";"3312";"-6";"1648";"4913";"5577";"2560";"-6";"4937";"4896";"2887";"2736";"1498";"-6";"2808";"8231";"3159";"2856";"3879";"-6";"2488";"3697";"4481";"-6";"3112";"6779";"2243";"4125";"5600";"3624";"7273";"2936";"4456";"4527";"6153";"23";"2";"5";"67";"41";"50";"35";"38";"51";"48";"8";"2";"12"
"1497";"370";"110";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";58;"1";"4";"1";"3";"2";"5";"2";"4";"3";"3";"1";"2";"3";"4";"4";"1";"1";"3";"2";"3";"2";"4";"3";"4";"1";"1";"4";"1";"3";"2";"3";"2";"1";"3";"4";"4";"2";"3";"2";"4";"4";"1";"4";"3";"5";"1";"3";"4";"4";"1";"1";"1";"3";"2";"3";"4";"1";"3";"1";"3";"2";"2";"7709";"7630";"8174";"5723";"5941";"-6";"4983";"5172";"8307";"4658";"10781";"7462";"-6";"7414";"7085";"9107";"5370";"5175";"13777";"-6";"6311";"2816";"6015";"3972";"11177";"4881";"4714";"4355";"8733";"-6";"6245";"3827";"5091";"5958";"-6";"5333";"9207";"4495";"-6";"-6";"6807";"5693";"6336";"-6";"5262";"3445";"12374";"5827";"3687";"-6";"10603";"-6";"4870";"6663";"2941";"9973";"7539";"5319";"7470";"6341";"5";"22";"55";"43";"80";"86";"63";"70";"62";"75";"10";"21";"12"
"1520";"729";"219";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";62;"2";"3";"4";"2";"3";"2";"1";"2";"4";"3";"3";"4";"4";"1";"2";"2";"3";"4";"2";"4";"4";"3";"3";"2";"2";"2";"1";"4";"2";"4";"4";"3";"2";"2";"3";"2";"4";"4";"1";"4";"3";"1";"4";"1";"4";"4";"3";"4";"2";"2";"3";"2";"3";"4";"3";"3";"4";"3";"4";"2";"3";"2";"5939";"6137";"5572";"1470";"3990";"6268";"3554";"2945";"7886";"2859";"8459";"5496";"5745";"6953";"3971";"4599";"7541";"3120";"5204";"3461";"4628";"1954";"5367";"3952";"4772";"5077";"5082";"4050";"4344";"6155";"6982";"3165";"3540";"2947";"3742";"3550";"3857";"4001";"5001";"4541";"9439";"1342";"2119";"4281";"3804";"5315";"5675";"6588";"3795";"3377";"9946";"3424";"3525";"8095";"2624";"5100";"4456";"5506";"5978";"7210";"125";"34";"14";"25";"52";"59";"50";"45";"51";"61";"23";"14";"12"
"1530";"53";"11";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";54;"1";"3";"4";"3";"4";"3";"3";"4";"4";"4";"3";"3";"4";"3";"4";"4";"4";"3";"4";"3";"3";"3";"4";"3";"4";"4";"3";"3";"4";"3";"4";"4";"4";"4";"3";"3";"4";"3";"3";"4";"4";"4";"4";"3";"3";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"4";"3";"4";"3";"176206";"-6";"-6";"-6";"-6";"240";"488";"424";"952";"248";"1378";"576";"248";"223";"200";"727";"257";"880";"280";"256";"1214";"432";"-6";"312";"434";"535";"-6";"1064";"318";"953";"1147";"279";"-6";"-6";"305";"-6";"-6";"216";"192";"231";"1222";"-6";"-6";"240";"-6";"-6";"432";"207";"193";"240";"874";"328";"320";"262";"-6";"-6";"265";"-6";"216";"-6";"6";"3";"6";"36";"1607";"6";"9";"6";"8";"6";"5";"4";"12"
"1532";"300";"88";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";48;"1";"6";"5";"5";"4";"4";"4";"4";"3";"2";"2";"3";"2";"4";"2";"4";"2";"1";"4";"4";"4";"5";"1";"4";"2";"3";"2";"3";"4";"3";"4";"2";"5";"5";"4";"3";"4";"3";"4";"3";"4";"4";"4";"1";"3";"3";"4";"4";"4";"2";"3";"2";"4";"3";"4";"4";"5";"4";"2";"2";"3";"4";"4261";"4942";"4568";"1592";"5080";"5825";"3543";"5512";"3368";"2185";"4024";"5153";"4903";"5184";"2480";"4616";"3888";"3905";"2801";"1958";"3648";"1944";"3304";"4425";"3671";"3920";"4200";"2552";"2864";"3752";"4464";"2248";"2560";"3272";"2224";"3466";"2277";"2601";"2640";"2728";"3809";"3152";"2416";"3104";"2352";"2360";"3441";"2767";"2257";"2271";"4098";"1928";"3164";"3028";"2504";"3224";"3864";"4299";"1918";"3887";"2";"10";"7";"19";"42";"41";"36";"31";"31";"33";"24";"14";"12"
"1535";"329";"97";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";78;"1";"5";"3";"5";"4";"5";"4";"3";"4";"4";"4";"3";"4";"1";"5";"4";"2";"5";"3";"2";"1";"3";"1";"4";"4";"3";"5";"2";"3";"1";"4";"2";"4";"3";"4";"4";"4";"5";"4";"4";"4";"4";"5";"4";"4";"1";"4";"2";"4";"3";"3";"3";"4";"1";"5";"2";"3";"4";"4";"3";"3";"1";"5249";"6824";"7080";"3992";"5336";"9280";"7000";"5122";"3694";"4024";"7544";"5692";"6268";"3383";"6024";"7635";"8005";"4480";"8008";"5992";"7698";"4191";"4240";"4144";"6056";"4960";"6968";"3768";"6263";"6368";"6162";"4927";"3600";"4232";"2768";"6200";"3752";"2464";"5272";"4608";"8772";"5439";"4084";"3549";"4783";"3800";"3961";"5807";"3889";"2215";"7836";"3784";"5232";"11521";"5383";"4656";"5920";"7274";"4397";"8192";"7";"5";"13";"55";"59";"64";"57";"45";"48";"66";"12";"11";"12"
"1542";"359";"109";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";52;"1";"4";"3";"4";"3";"4";"3";"3";"4";"4";"4";"2";"2";"2";"3";"3";"3";"3";"2";"3";"3";"3";"1";"4";"2";"3";"3";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"3";"4";"4";"4";"3";"3";"3";"3";"2";"4";"3";"2";"3";"3";"3";"2";"1";"4";"4";"3";"3";"2";"3";"2";"2";"4329";"3657";"2947";"1633";"2277";"4128";"2168";"2766";"1927";"2226";"3782";"3229";"3117";"2810";"2965";"3510";"2805";"4461";"2470";"2337";"2790";"1882";"2316";"3373";"2947";"2605";"4695";"3044";"2631";"3434";"3022";"2284";"1833";"3156";"2269";"5693";"2324";"2261";"3310";"4035";"4140";"2969";"2324";"2820";"3311";"5287";"964";"2280";"2389";"2341";"3499";"2462";"4736";"3187";"2640";"2826";"3629";"4700";"2490";"3470";"1140";"5";"8";"37";"30";"32";"31";"32";"29";"35";"18";"6";"12"
"1546";"493";"146";"2";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";63;"1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17";"4";"8";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3"
"1551";"280";"82";"2";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";59;"1";"2";"5";"3";"1";"3";"5";"3";"1";"4";"3";"3";"3";"5";"1";"1";"4";"1";"5";"3";"5";"3";"1";"3";"5";"3";"1";"1";"1";"3";"3";"1";"5";"3";"3";"4";"3";"3";"3";"3";"3";"1";"3";"1";"3";"1";"3";"3";"5";"3";"3";"3";"3";"1";"1";"3";"5";"3";"3";"3";"1";"3";"3950";"2942";"10944";"1958";"4633";"3276";"2582";"3894";"2637";"2281";"6573";"4255";"4765";"4988";"2981";"6130";"5606";"2672";"7442";"3190";"2948";"1415";"3285";"1949";"2992";"4517";"8033";"4131";"2606";"4495";"5155";"2137";"4492";"3077";"4061";"3816";"2496";"2453";"1751";"4842";"4119";"3384";"1943";"4687";"1957";"3161";"4147";"3430";"2095";"1126";"6348";"2166";"2502";"5018";"2690";"3716";"3105";"6898";"4774";"3097";"1";"3";"7";"61";"40";"50";"38";"35";"32";"41";"25";"3";"12"
"1552";"13";"1";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";53;"1";"4";"3";"4";"2";"4";"3";"4";"5";"4";"4";"1";"4";"4";"5";"1";"1";"3";"4";"1";"3";"2";"1";"4";"4";"3";"4";"2";"3";"1";"2";"1";"1";"1";"4";"4";"1";"3";"5";"5";"1";"1";"4";"4";"5";"1";"5";"3";"4";"3";"5";"4";"3";"2";"2";"5";"1";"2";"1";"3";"1";"4";"6620";"4781";"3547";"3855";"4520";"4928";"2700";"3398";"3774";"2153";"5309";"3511";"4664";"3120";"3000";"6163";"5838";"3143";"5360";"3791";"5819";"2358";"3000";"3617";"5152";"3608";"5167";"2489";"4519";"3895";"3759";"3320";"3240";"3056";"3464";"4680";"3519";"2528";"5272";"2995";"6158";"3031";"-6";"3050";"3165";"3792";"4792";"2801";"2448";"2570";"15127";"1965";"4461";"4897";"2119";"5344";"4064";"5176";"3456";"4681";"4";"4";"8";"61";"42";"45";"41";"38";"36";"53";"8";"4";"12"
"1554";"303";"89";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";52;"1";"3";"2";"4";"2";"2";"3";"2";"4";"2";"4";"4";"5";"1";"5";"2";"4";"2";"4";"2";"4";"2";"1";"2";"4";"1";"2";"2";"2";"4";"4";"2";"1";"4";"4";"2";"2";"4";"4";"4";"2";"2";"2";"4";"4";"2";"2";"4";"4";"1";"2";"2";"2";"4";"2";"2";"4";"2";"2";"1";"1";"1";"7785";"4708";"2865";"3792";"6272";"6293";"2920";"5396";"3900";"1434";"4283";"3759";"5054";"5172";"3410";"6001";"3088";"2631";"5282";"-6";"3845";"6156";"3587";"2770";"6717";"4321";"3595";"2732";"3468";"3641";"10504";"4597";"-6";"5456";"2699";"6150";"2684";"2515";"2391";"3475";"9771";"5663";"2069";"3067";"3194";"4652";"4520";"3273";"-6";"2721";"8404";"3258";"2039";"6932";"2881";"5775";"3777";"4785";"4383";"4099";"43";"21";"18";"4376";"50";"50";"45";"53";"50";"60";"103";"25";"12"
"1562";"31";"5";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";66;"1";"3";"2";"3";"5";"5";"3";"2";"4";"4";"2";"2";"3";"2";"4";"2";"2";"3";"3";"4";"4";"2";"1";"4";"4";"2";"5";"2";"2";"2";"2";"2";"2";"1";"4";"4";"2";"5";"3";"4";"2";"2";"2";"3";"4";"2";"3";"3";"2";"2";"2";"2";"2";"1";"2";"4";"2";"2";"2";"3";"2";"1";"5274";"3599";"3320";"4216";"5408";"5736";"2839";"8224";"4848";"4264";"12216";"3224";"10144";"8335";"3800";"5632";"5784";"4120";"9439";"3944";"3115";"3335";"6264";"4256";"7776";"4919";"5416";"6344";"2808";"4072";"4387";"4899";"4994";"5736";"3080";"3344";"5192";"6399";"5056";"3880";"14443";"3688";"2888";"3152";"7277";"4128";"5808";"4296";"4096";"3575";"6572";"2639";"3792";"7408";"3344";"5855";"5136";"5970";"6775";"6464";"17";"7";"11";"58";"48";"68";"50";"48";"55";"55";"11";"5";"12"
"1613";"318";"93";"2";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";42;"1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"6";"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3"
"1635";"37";"7";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";67;"1";"5";"2";"4";"5";"4";"1";"2";"5";"5";"2";"3";"2";"1";"2";"3";"2";"3";"4";"3";"3";"2";"1";"4";"2";"2";"4";"1";"2";"2";"4";"1";"2";"2";"3";"3";"3";"5";"4";"4";"2";"3";"4";"2";"4";"1";"3";"2";"4";"2";"2";"4";"4";"1";"4";"5";"1";"3";"2";"2";"2";"1";"6238";"4046";"3552";"-6";"3695";"6088";"2560";"3088";"3240";"2728";"6650";"3151";"6144";"8144";"2912";"4097";"6431";"3744";"3953";"3967";"4009";"1729";"3151";"8600";"3576";"2985";"3759";"4744";"3176";"4584";"5643";"4792";"2704";"3745";"2343";"3920";"4167";"3208";"6849";"3568";"4960";"3279";"2608";"3960";"3704";"2448";"6192";"4752";"3368";"1776";"6018";"3160";"4704";"3609";"2999";"3433";"3479";"4392";"4097";"7766";"4";"4";"5";"22";"41";"51";"41";"42";"38";"44";"9";"5";"12"
"1639";"126";"34";"3";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";40;"1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"2";"5";"76474";NA;NA;NA;NA;NA;NA;NA;NA;"4"
"1667";"302";"88";"3";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";59;"1";"6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"3";"10";"61";NA;NA;NA;NA;NA;NA;NA;NA;"4"
"1671";"557";"166";"2";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";59;"1";"5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"8";"7";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3"
"1685";"21";"3";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";30;"1";"3";"2";"5";"1";"3";"3";"2";"3";"4";"4";"2";"5";"3";"3";"1";"4";"2";"4";"3";"2";"2";"3";"3";"2";"3";"3";"2";"2";"3";"5";"4";"3";"2";"2";"2";"1";"3";"3";"5";"1";"2";"2";"3";"4";"1";"2";"4";"3";"3";"4";"5";"3";"3";"1";"2";"3";"1";"4";"4";"3";"2";"5629";"2691";"3632";"3877";"4969";"4333";"2375";"2871";"2091";"2291";"3749";"2941";"3884";"2839";"2376";"4767";"3178";"2656";"3863";"3208";"-6";"1873";"2861";"-6";"953";"1945";"4261";"2827";"3547";"4744";"-6";"2543";"2692";"2559";"2409";"4030";"3001";"2201";"3040";"2559";"4392";"2241";"3346";"2777";"2694";"4065";"3479";"2945";"3135";"1975";"-6";"1755";"-6";"1475";"2142";"4080";"3798";"4030";"2537";"5821";"71";"3";"9";"16";"36";"35";"35";"31";"33";"37";"6";"11";"12"
"1699";"14";"1";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";64;"1";"6";"4";"2";"1";"5";"3";"3";"4";"4";"5";"2";"3";"2";"1";"4";"4";"2";"2";"4";"1";"3";"2";"5";"5";"2";"5";"2";"3";"2";"4";"2";"3";"3";"2";"4";"3";"5";"5";"4";"2";"3";"4";"2";"4";"2";"4";"2";"5";"2";"5";"2";"2";"3";"5";"5";"4";"4";"4";"2";"2";"2";"6245";"4480";"6136";"3235";"3514";"5885";"7080";"3900";"2619";"4468";"6769";"3421";"6330";"3494";"2532";"4453";"3930";"2788";"5502";"3424";"3423";"2049";"2952";"4316";"4100";"4680";"4086";"3100";"2665";"3463";"4461";"2648";"2950";"4041";"3946";"-6";"3652";"3153";"4228";"4352";"4260";"2304";"2150";"2351";"3898";"4400";"4078";"3540";"2619";"2530";"4658";"2135";"2504";"4633";"2831";"-6";"4154";"-6";"4198";"4103";"3";"7";"28";"32";"49";"45";"35";"45";"33";"47";"8";"4";"12"
