"nF","ipf","total_items","rep","std_mcc_oracle","std_mcc_z15","w0_mcc_oracle","w0_mcc_z15","w10_mcc_oracle","w10_mcc_z15","items_bin"
6,6,36,3,0.12763928258657,0.0948652425249093,0.188561808316413,0.0788810637746615,0.155257778845004,0.0668153104781061,"30-60"
8,6,48,1,0.154858456288966,0.146493404152943,0.187909849925438,0.138220794283661,0.199599820208298,0.15628188302995,"30-60"
8,6,48,2,0.203703703703704,0.175408645400178,0.287658564417842,0.195834273752308,0.340750477485784,0.225121453954822,"30-60"
8,6,48,3,0.115170553180107,0.0983860828349561,0.219756171581421,0.146493404152943,0.270310252950645,0.19697894676176,"30-60"
10,6,60,1,0.342904056052514,0.296540126309456,0.282594736193605,0.226985834019482,0.319168600491154,0.255538282944231,"30-60"
10,6,60,2,0.217797138383922,0.181461611768062,0.275865384295431,0.164163534238984,0.236813778398955,0.198009358047473,"30-60"
10,6,60,3,0.223426687533279,0.172220725492131,0.243770113657842,0.226985834019482,0.273436741398587,0.230967294199593,"30-60"
15,6,90,1,0.241477735291822,0.184457190364287,0.267025873093617,0.153885924434162,0.221108319357027,0.182771762674421,"60-100"
15,6,90,2,0.330226710728027,0.271539426475639,0.33300828856238,0.301468421452664,0.352746273779055,0.333333333333333,"60-100"
15,6,90,3,0.320049110214487,0.262111843783858,0.308434630381995,0.282335567297092,0.351763235340724,0.212448054572343,"60-100"
20,6,120,1,0.348046470275086,0.338323832752449,0.442268981335852,0.304565088472354,0.365629243142341,0.321562701002704,"100-200"
20,6,120,2,0.449419228607635,0.339688540969122,0.331378282257478,0.238696481124063,0.287500511749319,0.221108319357027,"100-200"
20,6,120,3,0.489709439061415,0.364405444406747,0.462454856722211,0.417366973091744,0.442268981335852,0.371231348965911,"100-200"
4,10,40,1,0.189535626375859,0.137239856798507,0.203029403105005,0.143038278966629,0.194753935982694,0.164576158077451,"30-60"
4,10,40,2,0.176660127671464,0.163046773855994,0.224975457048838,0.173580379007728,0.240529748813495,0.176981078144159,"30-60"
4,10,40,3,0.153415374030482,0.121232161242218,0.186649879976711,0.0890870806374748,0.209257738185836,0.115927117786296,"30-60"
6,10,60,1,0.236643191323985,0.206892071932525,0.333631327351696,0.260241719384808,0.326732019606536,0.272797682390904,"30-60"
6,10,60,2,0.242659402964983,0.215598679604313,0.263403249999534,0.200116699324619,0.284052365422086,0.207715453956552,"30-60"
6,10,60,3,0.166759336491268,0.166759336491268,0.371231348965911,0.215720367007954,0.379970536748686,0.212048808387621,"30-60"
8,10,80,1,0.254794727341809,0.221786414383187,0.248721176341113,0.19094662973717,0.283425159558148,0.266667189492764,"60-100"
8,10,80,2,0.287058370942974,0.269529624356001,0.297187638355405,0.183892428122457,0.311057714315126,0.178434459677104,"60-100"
8,10,80,3,0.322418892328251,0.257417882210651,0.380723996877775,0.333333333333333,0.378680993980358,0.35894207687829,"60-100"
10,10,100,1,0.336488093494029,0.291241186255359,0.237925476281887,0.190848585964492,0.259587065825583,0.251866756308183,"60-100"
10,10,100,2,0.393745080027677,0.315437667813933,0.225308789806458,0.171145343603423,0.247445692958847,0.161233878132556,"60-100"
10,10,100,3,0.353158312552602,0.320588239800712,0.323686920372574,0.268918387029529,0.292179172621211,0.202262678804046,"60-100"
15,10,150,1,0.588198744680699,0.541191934830363,0.463699325906795,0.323897155175461,0.348807241766432,0.28039700806402,"100-200"
15,10,150,2,0.572131039446369,0.47088132701095,0.462317395019238,0.446934639076828,0.551993743327195,0.464822816125926,"100-200"
15,10,150,3,0.521363366665716,0.490990253030983,0.428571428571429,0.331378282257478,0.498970132789166,0.433340830644394,"100-200"
20,10,200,1,0.605703153593026,0.524005639774723,0.623609564462324,0.349206349206349,0.558389928096229,0.303774125621922,"100-200"
20,10,200,2,0.597959044405972,0.597959044405972,0.433289122413121,0.358629218394359,0.397320369859928,0.349206349206349,"100-200"
20,10,200,3,0.543886183911872,0.489978943506111,0.323897155175461,0.189840476215629,0.272165526975909,0.109230922735872,"100-200"
