"pct_careless","rep_id","z_threshold","mcc","sensitivity","specificity"
0.2,3,1.9,0.640424335623041,0.465,1
0.2,3,2,0.648742236818297,0.476,1
0.2,3,2.1,0.652501272828081,0.481,1
0.2,3,2.2,0.655498930802713,0.485,1
0.2,3,2.3,0.662956751016302,0.495,1
0.2,3,2.4,0.668886675030831,0.503,1
0.2,3,2.5,0.675520529473199,0.512,1
0.2,3,2.6,0.681385143869247,0.52,1
0.2,3,2.7,0.687220426160616,0.528,1
0.2,3,2.8,0.693585364642969,0.538,0.99975
0.2,3,2.9,0.697200655663284,0.543,0.99975
0.2,3,3,0.699206074364602,0.547,0.9995
