"nF","ipf","total_items","pct","rep","mcc_std","z_std","mcc_wt","z_wt","mcc_efaD","z_efaD","nF_detected","n_pairs_D"
10,3,30,0.25,2,0.164131476712253,1.7,0.284927458357601,0.8,0.235555555555556,0.1,5,85
15,3,45,0.25,2,0.105967394451709,1.9,0.222018577766625,0.9,0.161721163412078,0.4,8,110
20,3,60,0.25,2,0.305431208776528,0.4,0.327265993196712,0.2,0.2963477923851,0.4,11,148
25,3,75,0.25,2,0.140936869180464,1.7,0.229143430232911,0.2,0.226455406828919,0.7,11,242
30,3,90,0.25,2,0.250231486733492,2.1,0.269812146809546,1.1,0.285737827450882,0.1,16,226
4,6,24,0.25,2,0.113183291683622,1.6,0.22186486769517,0.1,0.218856889818253,0.5,3,85
6,6,36,0.25,2,0.151907447945586,0.6,0.382878047145308,0.4,0.331485936729569,1,5,119
8,6,48,0.25,2,0.234836081384386,0.6,0.300896738297035,0.6,0.328730361197655,0.6,5,241
10,6,60,0.25,2,0.344286919556825,0.9,0.317730044144996,0.4,0.433950673136542,1.2,8,203
15,6,90,0.25,2,0.314870142843594,1.8,0.204037906776598,2,0.373888096320442,0.5,9,426
20,6,120,0.25,2,0.577609096054869,1.2,0.461956578122389,1.7,0.585369407004964,1.4,12,585
25,6,150,0.25,2,0.489019547342346,1.6,0.384244570855602,1.7,0.437517439658788,1.8,15,728
30,6,180,0.25,2,0.569013363452438,2.3,0.45439994832382,2.6,0.552816232231331,1.9,19,832
4,10,40,0.25,2,0.154507860787381,2,0.212397697621437,0.4,0.304712642072303,0.6,4,183
6,10,60,0.25,2,0.362969535580834,1.6,0.415617558997032,1.6,0.473380865393205,0.7,5,355
8,10,80,0.25,2,0.423993640002937,1.3,0.41306262779588,1.8,0.468902208403577,0.4,6,551
10,10,100,0.25,2,0.434093649158736,0.8,0.450948698062346,2.2,0.478531538452283,2.2,6,810
15,10,150,0.25,2,0.591520481751277,2.1,0.482954604400679,2.1,0.577586066736393,2.9,11,1035
20,10,200,0.25,2,0.654330305081576,2.4,0.455978764698187,3,0.607266362676132,2.8,15,1280
25,10,250,0.25,2,0.63220862375488,3,0.355118418149624,3,0.66191681821763,2.8,17,1796
30,10,300,0.25,2,0.619926185713265,3,0.330822312014061,3,0.682998725673568,2.4,22,2001
4,3,12,0.05,3,0.0899842541331695,2.1,0.156173761888606,0.8,0.10398201696287,0.1,3,19
6,3,18,0.05,3,0.0187944692256065,2.7,0.106961493633326,0.7,0.0853123407762429,0.1,3,46
