"nFactors","total_items","rep_id","z_threshold","mcc","sensitivity","specificity","tp","tn","fp","fn"
3,19,1,0.7,0.14013192061251,0.816666666666667,0.345833333333333,49,83,157,11
3,19,1,0.9,0.150755672288882,0.866666666666667,0.3,52,72,168,8
3,19,1,1.1,0.124724508642861,0.883333333333333,0.245833333333333,53,59,181,7
3,19,1,1.3,0.15398682993656,0.933333333333333,0.216666666666667,56,52,188,4
3,19,1,1.5,0.153290069323752,0.95,0.191666666666667,57,46,194,3
3,19,1,1.7,0.146727255115835,0.95,0.183333333333333,57,44,196,3
3,19,1,1.9,0.129687843983453,0.95,0.1625,57,39,201,3
3,19,1,2.1,0.13334911522761,0.966666666666667,0.141666666666667,58,34,206,2
3,19,1,2.3,0.107161790388421,0.966666666666667,0.1125,58,27,213,2
3,19,1,2.5,0.0860078077570233,0.966666666666667,0.0916666666666667,58,22,218,2
3,19,1,2.7,0.100222965717159,0.983333333333333,0.0791666666666667,59,19,221,1
3,19,1,2.9,0.100222965717159,0.983333333333333,0.0791666666666667,59,19,221,1
3,19,2,0.1,0.0518785847899556,0.683333333333333,0.379166666666667,41,91,149,19
3,19,2,0.3,0.0145946526961399,0.716666666666667,0.3,43,72,168,17
3,19,2,0.5,0.0229927252306862,0.766666666666667,0.258333333333333,46,62,178,14
3,19,2,0.7,0.0606835045547051,0.833333333333333,0.229166666666667,50,55,185,10
3,19,2,0.9,0.0670820393249937,0.883333333333333,0.179166666666667,53,43,197,7
3,19,2,1.1,0.0576390417704235,0.9,0.15,54,36,204,6
3,19,2,1.3,0.060229006943261,0.933333333333333,0.1125,56,27,213,4
3,19,2,1.5,0.050113667688733,0.95,0.0833333333333333,57,20,220,3
3,19,2,1.7,0.0504603624764161,0.966666666666667,0.0625,58,15,225,2
3,19,2,1.9,0.0170103454359943,0.966666666666667,0.0416666666666667,58,10,230,2
3,19,2,2.1,0.022080920281276,0.983333333333333,0.025,59,6,234,1
3,19,2,2.3,0.0581238193719096,1,0.0166666666666667,60,4,236,0
3,19,2,2.5,0.0502518907629606,1,0.0125,60,3,237,0
3,19,2,2.7,0.040961596025952,1,0.00833333333333333,60,2,238,0
3,19,2,2.9,0.028915746598312,1,0.00416666666666667,60,1,239,0
3,19,3,0.1,0.0257109791587402,0.733333333333333,0.295833333333333,44,71,169,16
3,19,3,0.3,0.0158416152173919,0.783333333333333,0.233333333333333,47,56,184,13
3,19,3,0.5,0.0349601735497243,0.85,0.183333333333333,51,44,196,9
3,19,3,0.7,0.0659556066263858,0.9,0.158333333333333,54,38,202,6
3,19,3,0.9,0.0861668445826669,0.933333333333333,0.1375,56,33,207,4
3,19,3,1.1,0.0814347099941912,0.966666666666667,0.0875,58,21,219,2
3,19,3,1.3,0.0718539984863819,0.966666666666667,0.0791666666666667,58,19,221,2
3,19,3,1.5,0.0815912390008274,0.983333333333333,0.0625,59,15,225,1
3,19,3,1.7,0.0532078843372524,0.983333333333333,0.0416666666666667,59,10,230,1
3,19,3,1.9,0.0532078843372524,0.983333333333333,0.0416666666666667,59,10,230,1
3,19,3,2.1,0.0390806921173699,0.983333333333333,0.0333333333333333,59,8,232,1
3,19,3,2.3,0.0714285714285714,1,0.025,60,6,234,0
3,19,3,2.5,0.0650944554904119,1,0.0208333333333333,60,5,235,0
3,19,3,2.7,0.0581238193719096,1,0.0166666666666667,60,4,236,0
3,19,3,2.9,0.0502518907629606,1,0.0125,60,3,237,0
3,19,4,0.1,0.0280807217343689,0.683333333333333,0.35,41,84,156,19
3,19,4,0.3,0.033407655239053,0.75,0.2875,45,69,171,15
3,19,4,0.5,0.016273613872603,0.8,0.216666666666667,48,52,188,12
3,19,4,0.7,-0.0270511887041916,0.816666666666667,0.158333333333333,49,38,202,11
3,19,4,0.9,-0.0297350516725026,0.85,0.125,51,30,210,9
3,19,4,1.1,0.022560376923878,0.916666666666667,0.1,55,24,216,5
3,19,4,1.3,0.021053798026663,0.95,0.0625,57,15,225,3
3,19,4,1.5,0.0144172464218332,0.95,0.0583333333333333,57,14,226,3
3,19,4,1.7,-0.00977017302934249,0.966666666666667,0.0291666666666667,58,7,233,2
3,19,4,1.9,0,0.983333333333333,0.0166666666666667,59,4,236,1
3,19,4,2.1,-0.061442394038928,0.983333333333333,0.00416666666666667,59,1,239,1
3,19,4,2.3,-0.115662986393248,0.983333333333333,0,59,0,240,1
3,19,4,2.5,-0.115662986393248,0.983333333333333,0,59,0,240,1
3,19,4,2.7,0,1,0,60,0,240,0
3,19,4,2.9,0,1,0,60,0,240,0
3,19,5,0.1,-0.0457383691830811,0.616666666666667,0.329166666666667,37,79,161,23
3,19,5,0.3,-0.0401352949143847,0.666666666666667,0.2875,40,69,171,20
3,19,5,0.5,-0.0120053796153716,0.766666666666667,0.220833333333333,46,53,187,14
3,19,5,0.7,-0.0399326151048752,0.8,0.1625,48,39,201,12
3,19,5,0.9,-0.0436687442461126,0.833333333333333,0.129166666666667,50,31,209,10
3,19,5,1.1,-0.0620410365406646,0.866666666666667,0.0875,52,21,219,8
3,19,5,1.3,-0.0533151405429766,0.883333333333333,0.0791666666666667,53,19,221,7
3,19,5,1.5,0.033407655239053,0.95,0.0708333333333333,57,17,223,3
3,19,5,1.7,0.021053798026663,0.95,0.0625,57,15,225,3
3,19,5,1.9,0.0532078843372524,0.983333333333333,0.0416666666666667,59,10,230,1
3,19,5,2.1,0.022080920281276,0.983333333333333,0.025,59,6,234,1
