"nFactors","total_items","z_threshold","mean_mcc","sd_mcc","mean_sens","mean_spec","n_reps"
3,19,1.7,0.0727727070057344,0.0745905816343643,0.961666666666667,0.0954166666666667,10
3,19,1.9,0.0689344310649594,0.0647067591248716,0.97,0.08,10
3,19,2.1,0.0621115246828797,0.078068993359789,0.98,0.0658333333333333,10
3,19,2.3,0.059626661446212,0.0922565055921557,0.986666666666667,0.0554166666666667,10
3,19,2.5,0.0504693183315388,0.085004874669367,0.988333333333333,0.0454166666666667,10
3,19,2.7,0.0562563645554427,0.0664791618234628,0.991666666666667,0.0391666666666667,10
3,19,2.9,0.0449834758423309,0.0727317526519793,0.991666666666667,0.0358333333333333,10
4,29,0.1,0.14021753540074,0.0787221239490126,0.671666666666667,0.500833333333333,10
4,29,0.3,0.150533988736083,0.0729832564556646,0.738333333333333,0.444166666666667,10
4,29,0.5,0.141783867986462,0.0732032900638375,0.776666666666667,0.390416666666667,10
4,29,0.7,0.142631466531584,0.0668461821351775,0.815,0.348333333333333,10
4,29,0.9,0.141420932455269,0.0680707603569914,0.851666666666667,0.302916666666667,10
4,29,1.1,0.14692888436601,0.0665994230897887,0.883333333333333,0.2725,10
4,29,1.3,0.151223039390514,0.0651818204545678,0.905,0.24875,10
4,29,1.5,0.147731785644059,0.0600471860004567,0.923333333333333,0.22125,10
4,29,1.7,0.143180547872536,0.0507212861412367,0.938333333333333,0.195,10
4,29,1.9,0.136764872756206,0.0547954394835366,0.95,0.1725,10
4,29,2.1,0.126485062055131,0.0557627123327536,0.958333333333333,0.149166666666667,10
4,29,2.3,0.13127384831136,0.0486536005124456,0.971666666666667,0.134166666666667,10
4,29,2.5,0.128666642185852,0.046968674099074,0.98,0.11875,10
4,29,2.7,0.122074394408635,0.0487533060728341,0.986666666666667,0.100416666666667,10
4,29,2.9,0.113287798560683,0.0482529235240298,0.991666666666667,0.0845833333333333,10
5,35,0.1,0.142923121485287,0.0780879224231043,0.651666666666667,0.525416666666667,10
5,35,0.3,0.163145147888254,0.0716179343402172,0.723333333333333,0.4775,10
5,35,0.5,0.164378571257065,0.0648041404589609,0.766666666666667,0.433333333333333,10
5,35,0.7,0.165396483346949,0.0694869322807262,0.806666666666667,0.390833333333333,10
5,35,0.9,0.170734331701618,0.0709948473069542,0.848333333333333,0.350416666666667,10
5,35,1.1,0.169843907401605,0.0618803045449917,0.871666666666667,0.320833333333333,10
5,35,1.3,0.17770143798797,0.0689011164172122,0.906666666666667,0.287916666666667,10
5,35,1.5,0.181159872075499,0.0641515301817997,0.933333333333333,0.256666666666667,10
5,35,1.7,0.175184888630965,0.0703073763510428,0.946666666666667,0.230416666666667,10
5,35,1.9,0.171235045217502,0.070197220753135,0.958333333333333,0.207916666666667,10
5,35,2.1,0.16144684049448,0.0499554188623961,0.968333333333333,0.177083333333333,10
5,35,2.3,0.155374863147031,0.0465004483044543,0.975,0.157916666666667,10
5,35,2.5,0.144502661225407,0.0487921337163757,0.98,0.1375,10
5,35,2.7,0.144221005415235,0.0373994841301421,0.99,0.1175,10
5,35,2.9,0.136523801261348,0.0334015477288414,0.995,0.0991666666666667,10
6,38,0.1,0.158327595248156,0.0440768002002342,0.621666666666667,0.575,10
6,38,0.3,0.165957353516059,0.0467264605429335,0.678333333333333,0.528333333333333,10
6,38,0.5,0.175593612701172,0.0396541424303783,0.73,0.4875,10
6,38,0.7,0.186231818716653,0.0336013476818654,0.78,0.4475,10
6,38,0.9,0.18887532205055,0.0437270744814914,0.823333333333333,0.402916666666667,10
6,38,1.1,0.1907426654444,0.0433291187106228,0.855,0.368333333333333,10
6,38,1.3,0.192230904021123,0.0471160962581425,0.888333333333333,0.329583333333333,10
6,38,1.5,0.199700881906815,0.0398889536043106,0.92,0.2975,10
6,38,1.7,0.207182941946794,0.0461118314663976,0.945,0.274166666666667,10
6,38,1.9,0.197233576274576,0.0440829025015925,0.958333333333333,0.240416666666667,10
6,38,2.1,0.194055998227685,0.0493396823169488,0.97,0.21875,10
6,38,2.3,0.190538496687217,0.047398846244133,0.978333333333333,0.199583333333333,10
6,38,2.5,0.178487029466601,0.0505330214646096,0.981666666666667,0.177916666666667,10
6,38,2.7,0.169698815655092,0.049087023644946,0.985,0.160833333333333,10
6,38,2.9,0.158534547280307,0.0472688472462456,0.988333333333333,0.140833333333333,10
7,48,0.1,0.290368302615785,0.0673769875074629,0.666666666666667,0.685416666666667,10
7,48,0.3,0.292690316362268,0.064541037985596,0.713333333333333,0.647083333333333,10
7,48,0.5,0.299972530361112,0.0529374302406668,0.763333333333333,0.609583333333333,10
7,48,0.7,0.297036624094504,0.0423148901734304,0.803333333333333,0.567083333333333,10
7,48,0.9,0.310313147549753,0.0366430109675049,0.85,0.535833333333333,10
7,48,1.1,0.309163844956044,0.0427148048417394,0.875,0.507083333333333,10
7,48,1.3,0.298343920401172,0.0337169067165686,0.891666666666667,0.472916666666667,10
7,48,1.5,0.278678618399447,0.020710429018902,0.901666666666667,0.433333333333333,10
7,48,1.7,0.273423366510934,0.0223482170271396,0.921666666666667,0.400416666666667,10
7,48,1.9,0.268914570816274,0.0120124435156428,0.94,0.369166666666667,10
7,48,2.1,0.263885935082086,0.0212361951079191,0.953333333333333,0.343333333333333,10
7,48,2.3,0.252929406811697,0.0237495754779229,0.961666666666667,0.315416666666667,10
7,48,2.5,0.237559939778573,0.0272057881662084,0.965,0.2875,10
7,48,2.7,0.22513803911727,0.0324227703970037,0.966666666666667,0.266666666666667,10
7,48,2.9,0.218676147087687,0.0310138049001722,0.973333333333333,0.246666666666667,10
8,54,0.1,0.241605354418866,0.0643313944752198,0.591666666666667,0.697083333333333,10
8,54,0.3,0.264569415530459,0.0667306722282436,0.66,0.663333333333333,10
