"nFactors","items_per_factor","total_items","mean_best_z","median_best_z","sd_best_z","mean_mcc","median_mcc","sd_mcc"
18,10,180,0.9,0.9,0.3787456611792,0.704306096727959,0.689057581414134,0.0871583629431501
18,12,216,1.41666666666667,1.5,0.523965867099239,0.751736521905632,0.750680108420153,0.0830603780021201
20,3,60,0.723333333333333,0.55,0.610643150679072,0.18961136251755,0.183321992016388,0.0455687102234182
20,4,80,0.496666666666667,0.35,0.423843931372055,0.31404736626343,0.30174399787265,0.0720862955257691
20,6,120,0.5,0.45,0.319482339914496,0.495084807274629,0.498023562448963,0.0722429798773336
20,8,160,0.776666666666667,0.8,0.408262367748413,0.638638185990854,0.651390796697783,0.1038714652413
20,10,200,1.23333333333333,1.4,0.53904982389727,0.706475208083994,0.713279111715439,0.0789284697936097
20,12,240,1.77333333333333,1.8,0.476288331489072,0.784173355979541,0.784695305675612,0.0580560358270916
25,3,75,0.73,0.7,0.65450692154081,0.237547797494311,0.230239422556398,0.0504693615245248
25,4,100,0.433333333333333,0.3,0.382670591513374,0.372057436211007,0.357466861607183,0.0609922459101168
25,6,150,0.68,0.6,0.419687897174177,0.573170532638429,0.586746542947433,0.0711366964675537
25,8,200,1.31333333333333,1.25,0.590577352423374,0.705645572523056,0.713578248294649,0.0668766556486786
25,10,250,1.93666666666667,2,0.473055608988417,0.762342418750154,0.763954040493664,0.058636176191912
25,12,300,2.3,2.3,0.392164638192017,0.814514225585245,0.823891874857798,0.0644003217542682
30,3,90,0.556666666666667,0.55,0.389237391737275,0.26472701600121,0.266640460849038,0.0558561787389513
30,4,120,0.5,0.45,0.42263540984538,0.418538253855541,0.419811720312997,0.0821230521583216
30,6,180,1.03333333333333,0.95,0.58092276971024,0.635198763163464,0.654218511982151,0.0859867082432363
30,8,240,1.87333333333333,1.9,0.537512362862367,0.748919683782921,0.745976817152173,0.0884970556271497
30,10,300,2.52333333333333,2.5,0.312590216862526,0.818470748078387,0.826392557722196,0.0478995586389344
30,12,360,2.78333333333333,2.75,0.174362550023148,0.83766196747548,0.847851779200909,0.0487621743093993
